station,dist,TR_2_mean,TR_2_std,TR_5_mean,TR_5_std,TR_10_mean,TR_10_std,TR_25_mean,TR_25_std,TR_50_mean,TR_50_std,TR_75_mean,TR_75_std,TR_100_mean,TR_100_std
Chemin II,GEV,67.92575620901749,7.598313778902097,88.54543089806653,12.96448618567153,104.6275316952819,20.70273076697738,129.05885576269515,38.28600261696032,151.3707438662387,60.7275428741113,166.5547067419979,79.61402657202055,178.5200733324434,96.60549851172925
Chemin II,GPD,70.44162158805067,7.429236318691926,89.52402478737555,14.01602211561325,105.62395782683238,21.736218373114326,129.70065834945868,36.903331174771886,150.55272656050855,53.46338684166164,164.032309778206,65.82709033362835,174.25503713735722,76.0606764958195
Clozier (Tank),GEV,95.46454152206151,17.394886595337837,129.8599649558623,21.85786585405623,158.61689590849682,31.75103557092894,205.13480359527506,59.107824304686304,250.2065826065202,98.04801683689819,282.1082514042179,132.60830385423458,307.876038836889,164.60820037181804
Clozier (Tank),GPD,140.04336672365184,25.399304190935023,192.1728648815373,49.13926205700942,242.16289189565998,78.23404317624527,327.0424036117593,140.02074677224184,410.07729064727897,213.98884036995415,468.2885939595678,273.1995949294088,514.7337844771431,324.58113335161113
Concord (WTP),GEV,103.80190376010552,7.433310934483753,133.27046601221033,12.877374438674977,157.7210224586431,20.43221649474762,196.5650027895327,38.67355872859817,233.1730735338423,62.263264673237714,258.4366309157827,81.74709945780003,278.4541800094454,98.88425198688908
Concord (WTP),GPD,122.27450030292485,10.678616743094274,154.04691786785537,20.097122221820992,181.7747919685269,30.948534222324163,224.3793613356784,52.08053556537135,262.03195914846776,75.024894454589,286.61378171750374,92.08596539833864,305.34147878703516,106.16308518391355
Dougaldston (WTP),GEV,85.33159630043441,12.561744129207263,122.53780619536622,20.90390950703285,155.4152370080487,32.19658330417652,211.05600705554022,60.64474501709405,267.0294487642964,101.16236234254684,307.52587743138474,137.3589218963914,340.6453747881477,170.94081115868283
Dougaldston (WTP),GPD,104.12869431615468,13.375646901601412,141.0337188205549,26.288426153852473,176.49001164105408,42.325433671484575,236.6868861662838,76.31098055105183,295.4541253077945,116.36981431639587,336.5424583646892,147.85423942970192,369.24987801066754,174.76091208121952
Grand Etang (LAKE),GEV,97.01454270411587,12.57638469912112,127.09894486155515,17.751179586351775,151.04740588638526,26.387487815879677,187.94731099282401,47.316383125362606,221.93222508852472,73.93193660113569,245.10690104534632,95.70836447424443,263.35791831670787,114.77824441367562
Grand Etang (LAKE),GPD,112.64354298379305,12.228454253841829,143.90124825554327,21.754486484971636,171.37576979715354,32.25579601121679,213.82869439613293,51.950344101366284,251.49224632998724,72.58676572880319,276.11872810437336,87.54757525039574,294.88873267208686,99.68236197207484
