z_20241101,z_20241102,z_20241103,z_20241104,z_20241105,z_20241106,z_20241107,z_20241108,z_20241109,z_20241110,z_20241111,z_20241112,z_20241113,z_20241114,z_20241115,z_20241116,z_20241117,z_20241118,z_20241119,z_20241120,z_20241121,z_20241123,z_20241124,z_20241125,z_20241126,z_20241127,z_20241128,z_20241129,z_20241130,z_20251101,z_20251102,z_20251103,z_20251104,z_20251105,z_20251106,z_20251107,z_20251108,z_20251109,z_20251110,z_20251111,z_20251112,z_20251113,z_20251114,z_20251115,z_20251116,z_20251117,z_20251118,z_20251119,z_20251120,z_20251121,z_20251122,z_20251123,z_20251124,z_20251125,z_20251126,z_20251127,z_20251128,z_20251129,z_20251130
-25.6685834912469,-21.626227442379502,-19.868293283434223,-21.599189746089607,-29.85465029785533,-22.694446660887305,-21.09170396582642,-102.76921784589248,-301.08526698230173,-21.665104990908453,-127.44063720945582,-159.3876950588897,-262.06340831579075,-25.822894188925005,-39.19964890771915,-20.560790664918386,-34.974531129954414,-109.42765339243515,-200.93586020039265,-27.721183476297817,-19.856552516819495,-29.517590133630886,-27.88153414829528,-29.47102089130026,-22.256124540555135,-34.752508715481156,-22.90417065606642,-28.178813274642412,-33.29829053100436,-29.573943162127126,-31.473042572881212,-25.435520736022216,-21.28809824452868,-23.414841602672343,-23.61587798106991,-25.055135291211467,-22.59345324137053,-29.09311544619669,-24.50375772750498,-22.73940081066536,-22.67392789764613,-22.08299753022188,-25.028500262955138,-23.284649793007716,-31.605244399761034,-39.01579912962842,-22.884968950026007,-23.99233922719205,-27.68553898859697,-25.606553561972774,-22.562636058250735,-21.91511820727932,-26.549054373404218,-29.74032399791342,-58.902434036909824,-37.79439956805367,-35.17289422870249,-21.789613306045513,-23.53093760332219
-25.95429801776161,-22.07161033167341,-20.367247457684993,-21.967772116946506,-30.022464654410776,-23.081594506466143,-21.503435950613238,-99.98157089632782,-305.7602129482817,-22.009736634590887,-121.32929683232882,-158.54963805020236,-255.1103765932555,-25.99856881984989,-38.73971572785436,-20.981971654895336,-34.72413569093643,-110.91696046308658,-196.87480480562238,-27.9865410950675,-20.35611036345629,-29.861745846752704,-28.131008932825562,-29.525940597522833,-22.602532367636,-35.4430772885064,-23.224144112947457,-28.704394785855254,-33.30143926130746,-29.54644601611851,-31.662770089751923,-25.682776670812324,-21.73652687011772,-23.79131276312791,-24.01987254649322,-25.549442603583525,-23.036182784585932,-29.3062679976047,-24.85430549292758,-23.154718190820876,-23.143586043972217,-22.572031214371876,-25.320185807588626,-23.65134054059537,-31.770869069173614,-38.34375117613058,-23.333843338959106,-24.400451495106203,-28.160657092049004,-25.809101304484365,-23.008568611833233,-22.399213404161202,-26.964438756018584,-29.85726638192185,-57.82742140675059,-37.77169673425993,-35.22188058443845,-22.268860320059666,-23.970955651706966
-25.789081436275275,-21.72932518464182,-19.948533745654437,-21.613119235303444,-29.74665104056279,-22.789543066760174,-21.14825041583079,-102.5905653475837,-307.74841879454397,-21.634549472724878,-126.48466342435151,-158.32995814734667,-258.13204015625047,-25.86988802151026,-39.18775311455775,-20.55717127848091,-34.88170102580412,-108.86182856451491,-198.63590419153604,-27.928734567295358,-19.935675368579364,-29.785243512581197,-28.018508050316306,-29.326639337811386,-22.307108822149225,-35.20763336814623,-22.887007057606997,-28.35188189483174,-32.995306797369466,-29.566663511434214,-31.545611998820757,-25.463856115598986,-21.33004626333239,-23.461825368290683,-23.6952922797189,-25.26673711491072,-22.668891201834697,-29.2653267744978,-24.5489157215631,-22.76933932532714,-22.763007468886713,-22.166187067273935,-25.068874921110982,-23.258449712961077,-31.769989108001717,-38.89702878488101,-22.977175254282763,-24.072320522775996,-27.932848003132627,-25.546786453101454,-22.61863858635606,-21.98547170238492,-26.712618704723674,-29.61593807946236,-58.177689018185404,-37.744874907806235,-35.14314880025174,-21.846340745936605,-23.634136546862564
-25.84322897266466,-21.92709029051705,-20.222630815874755,-21.87052298333508,-29.999287561087186,-22.958156538859384,-21.382685092686064,-100.69399631437452,-302.9692480032519,-21.926773280702136,-123.23850719684859,-158.80971780576454,-257.7107873978369,-25.94199416822208,-38.860422994956096,-20.874735931376684,-34.803044395156796,-110.43944244327012,-198.30113511062905,-27.861661447434663,-20.211593945107452,-29.687616253426484,-28.026949385895286,-29.522616378628122,-22.501160571889145,-35.1342231214426,-23.138835145080865,-28.50598412741042,-33.362452687670654,-29.574818614710477,-31.582524372942412,-25.62257130267733,-21.61589700150719,-23.687141393986938,-23.89796141685701,-25.36664886786203,-22.907723521947275,-29.21539699076471,-24.75479222909896,-23.04247240555814,-23.00258037969335,-22.427045114995593,-25.23934741640491,-23.562897101425136,-31.690158028069114,-38.57452177430222,-23.19553242370149,-24.273980773871575,-27.968986746447957,-25.773048893424125,-22.882737629256642,-22.26008834553255,-26.81845081030813,-29.850274864254104,-58.24699476335542,-37.76931477081998,-35.203338588255676,-22.134179902398625,-23.830703186135754
-25.865571212776743,-21.865125419012504,-20.062539286623828,-21.739850475000576,-29.939759780118454,-22.874114962482164,-21.283455707708672,-101.75736062875407,-302.6621174793962,-21.80860127561607,-123.38163595664531,-159.73631530899104,-257.88896863874413,-25.88469544118736,-38.95073460437837,-20.735079098575547,-34.86381989336158,-111.26420563372078,-198.91686921993266,-27.92804044374728,-20.05087837194925,-29.879170967087063,-28.05689016411221,-29.604965346364786,-22.40501463778321,-35.23173686383921,-23.072294838619108,-28.573430000615712,-33.28850274930535,-29.36756627705976,-31.64671394481427,-25.436641248330453,-21.438904498439303,-23.535460655734568,-23.79043623129184,-25.31891972093917,-22.75981989294355,-29.17213314887228,-24.63960042488715,-22.899694356281884,-22.869298741202265,-22.29324802820662,-25.113773261190424,-23.4200282978721,-31.671361995737854,-38.395956500958704,-23.08953562109333,-24.191971101755026,-28.00659172311294,-25.628453223627183,-22.73597236411703,-22.108886985235948,-26.7386122851694,-29.777274631182035,-58.249118909620165,-37.939771683031616,-35.30304177340902,-21.978452752582953,-23.745792693470527
-25.80000400800656,-21.868459408394237,-20.19311385744188,-21.817142067762255,-29.877306716291123,-22.931676925511127,-21.325028795183886,-100.92464852827136,-307.27618384397704,-21.83828595201843,-124.97707766730433,-157.79472585831854,-257.6207062470397,-25.947048710390956,-38.97754555004188,-20.791430550872533,-34.78417529676722,-108.88425021244487,-197.76684081967744,-27.86377242451767,-20.181421898086406,-29.616487037377688,-28.008928758432695,-29.307071918520258,-22.463719049459407,-35.17699186721832,-23.034243957122225,-28.380325934815936,-33.17057503509249,-29.742299003194475,-31.520406072360764,-25.683464508321325,-21.58846322601926,-23.67997679089063,-23.86834753255778,-25.369944352183932,-22.889275101194173,-29.300159342204083,-24.72404235875899,-22.99362290200249,-22.97353024608296,-22.384106510745504,-25.237590179317568,-23.488183305308564,-31.77187871189502,-38.90760195435672,-23.1566848102206,-24.22165854003596,-27.94547609528656,-25.742474344575392,-22.843982062488504,-22.22102794056631,-26.839032643770423,-29.748434267853114,-58.10763194699966,-37.60256119429847,-35.07313238616283,-22.08946105012046,-23.788260717961172
-25.934147873813053,-22.009590693261202,-20.25787932563357,-21.89122751401089,-30.01360654509558,-23.01039204623307,-21.43340063722082,-100.59971195641354,-303.72073190848687,-21.951031459259866,-121.70013491568514,-159.19204712051499,-256.0886580736693,-25.954993558389962,-38.79376255145884,-20.90506570783839,-34.77816949619145,-111.40925694720781,-197.65974512009558,-27.97003880480686,-20.246652300416528,-29.894052264121747,-28.111476966091733,-29.598967736479548,-22.536059148791686,-35.36889953571935,-23.188493594764093,-28.688185893783814,-33.32935855290538,-29.440659063196787,-31.67425974295056,-25.57540817573889,-21.628227768684756,-23.696320582841693,-23.940776844097666,-25.4678225086188,-22.935802457571143,-29.24203259058987,-24.77929270614327,-23.06812579051871,-23.04687691949236,-22.476488655643646,-25.2414360406398,-23.57749045197467,-31.71908709734279,-38.287114162350775,-23.25134649710857,-24.333846645472835,-28.115743363553904,-25.743667622975124,-22.913006322655896,-22.297634805228405,-26.878031858929603,-29.84418306994994,-57.989619055814615,-37.872152974725154,-35.28081590897615,-22.168065539520228,-23.896932428157207
-25.700564652277347,-21.638098983790353,-19.88202635945837,-21.572459570049535,-29.7333766641011,-22.718498128768758,-21.08368591401723,-102.85240137931129,-305.87414903927714,-21.5998614486221,-127.98898380987981,-158.24906445098642,-260.16254320243956,-25.846511524869975,-39.265268027211576,-20.509495299656574,-34.9281184122073,-108.25499862182309,-199.48701146614002,-27.814518307655316,-19.86939557994132,-29.60220821561373,-27.932558127246224,-29.291620821666292,-22.256995522317563,-34.95945242767772,-22.83774503195512,-28.176596500429344,-33.049042766862094,-29.654626689515858,-31.474602464802807,-25.47610655344721,-21.285383730008387,-23.427997008990385,-23.632953738362687,-25.14665348241899,-22.61295148373587,-29.214443263683787,-24.50450862645042,-22.722745432816104,-22.693458325751696,-22.092904020018704,-25.04197799189418,-23.228517864659104,-31.721694155926844,-39.13939899400714,-22.901629350874146,-23.99675703050518,-27.781358536370963,-25.55805248546759,-22.561854909470068,-21.920350842202268,-26.626741459635525,-29.624983928761406,-58.47718164688333,-37.68510623781751,-35.09106730244902,-21.78585390264642,-23.55049468443261
-25.873147776836575,-21.932279924600838,-20.220300704452963,-21.83644961067025,-29.894399477108323,-22.972540173998645,-21.366100999169614,-100.87591873758046,-307.38733589864586,-21.861287277091545,-123.67354970055595,-158.12269172935882,-256.1837735677897,-25.95564045056969,-38.92170916304809,-20.818425629245482,-34.7703044831493,-109.59264107073255,-197.33508394581793,-27.950270253878276,-20.208455658505855,-29.78241875389771,-28.074073407826447,-29.387115169607377,-22.492059306095193,-35.336807274662775,-23.078840438302503,-28.52481672639748,-33.15045984910975,-29.61868440635891,-31.590828098592425,-25.636575811448502,-21.597653038947787,-23.68239107188721,-23.90118813000975,-25.442868809692367,-22.909693607319014,-29.311326817207387,-24.744195909664526,-23.01425267206955,-23.00725869146795,-22.42300505663049,-25.239082948603247,-23.502859807983576,-31.787082426185492,-38.65412655723844,-23.200451217136997,-24.27186340734692,-28.056806351369136,-25.72093035197502,-22.86892323365338,-22.25074713675312,-26.87945931389249,-29.751729216337587,-57.92933130545952,-37.69856089174555,-35.14689847539272,-22.11663142157935,-23.84113507591643
-25.739098393284973,-21.66106698988594,-19.819068805523226,-21.564202873442017,-29.89284689370077,-22.690387879560223,-21.091872338135115,-103.130055987553,-300.2120333886846,-21.653113775756022,-125.86456986591581,-160.78374196711195,-261.4071158422554,-25.792846460112777,-39.14893640194272,-20.542091210751455,-34.99108303793908,-111.1149788894395,-201.2420036414115,-27.81147050932566,-19.807251213216826,-29.754649845853805,-27.947987120416734,-29.628088504639827,-22.23920472457561,-34.925983458883344,-22.935102226169636,-28.367955281564697,-33.33274460594249,-29.325221275496524,-31.574815764508845,-25.287593164579345,-21.216333989828115,-23.342702645931183,-23.595110452698417,-25.080621789774433,-22.54021244598789,-29.054769064879704,-24.46895508713622,-22.699474801579978,-22.64009594067803,-22.05764880061309,-24.962350221700465,-23.24744493311676,-31.578422909319688,-38.616076632676254,-22.874026011384274,-24.002716383962646,-27.794098558965366,-25.51890924027226,-22.519131983803113,-21.873527993234955,-26.53656840006692,-29.738857048575177,-58.79034919910569,-38.020553685204334,-35.332899809452755,-21.746089492164124,-23.538510861112925
