z_20231001,z_20231002,z_20231003,z_20231004,z_20231005,z_20231006,z_20231007,z_20231008,z_20231009,z_20231010,z_20231011,z_20231012,z_20231013,z_20231014,z_20231015,z_20231016,z_20231017,z_20231018,z_20231019,z_20231020,z_20231021,z_20231022,z_20231023,z_20231024,z_20231025,z_20231026,z_20231027,z_20231028,z_20231029,z_20231030,z_20231031,z_20251001,z_20251002,z_20251003,z_20251004,z_20251005,z_20251006,z_20251007,z_20251008,z_20251009,z_20251010,z_20251011,z_20251012,z_20251013,z_20251014,z_20251015,z_20251016,z_20251017,z_20251018,z_20251019,z_20251020,z_20251021,z_20251022,z_20251023,z_20251024,z_20251025,z_20251026,z_20251027,z_20251028,z_20251029,z_20251030,z_20251031
-15.842570835923205,-17.215713237386915,-22.272866249609912,-15.843381299418823,-18.430275603103077,-27.497079098676256,-67.9892571141503,-16.758463737446185,-16.3922610895055,-16.540282105273324,-15.85590436391347,-15.853233913182036,-15.909581760502332,-15.850727379990266,-16.178863708239724,-16.107836901228143,-16.560966855997552,-17.38805719707001,-18.01819221473889,-33.85505348874006,-16.603038573851066,-197.95848759490002,-28.326881637812207,-18.261214065679184,-43.148946659795,-144.05014749687373,-33.71248475329439,-17.77623750458008,-31.298804556745736,-22.844162631979643,-17.43522012207999,-16.404001080094723,-16.551840160925686,-16.404071639529196,-18.68158711763954,-24.7175014420466,-22.728018521240987,-20.888801097906644,-23.595021891104516,-20.624544088885663,-18.542493528591937,-17.625050607223695,-20.997785753494057,-38.060232066168716,-30.67903569805017,-24.11113489787813,-20.048571110056372,-16.404312645993457,-25.717709576593617,-104.6698316874237,-51.84304782705134,-19.010885191002046,-17.214881209642662,-17.27557863642239,-20.228202552090067,-20.439714556006898,-16.989436217311674,-17.946090217699798,-19.980433894235567,-19.065269370541245,-23.177551384465307,-45.34495904224521
-15.759677210488192,-17.14388851729461,-22.238716359890184,-15.76048204702887,-18.366772759458183,-27.496906937533616,-68.17427698204273,-16.68345525474701,-16.313916829847987,-16.463189635462225,-15.773226675022176,-15.770448210721025,-15.82737272228274,-15.76797564436731,-16.098780261722922,-16.027165912785563,-16.48425970878975,-17.31848687578681,-17.95331738233549,-33.90144313364756,-16.525806688735553,-199.13704832519946,-28.336260476130864,-18.1968005047716,-43.28078526878366,-144.70226332019388,-33.76688361091751,-17.709820383596508,-31.31389458958787,-22.807840568713832,-17.365020796332004,-16.31770307948519,-16.46689545285122,-16.317771399045874,-18.61351759993344,-24.693569426301696,-22.686277818944788,-20.832867887729023,-23.560380475159857,-20.568226286603075,-18.470362400681385,-17.54952506896647,-20.94661060430709,-38.13075800966591,-30.6811084585868,-24.083942316104732,-19.99179916320116,-16.318022096273946,-25.69530843281226,-105.19932971196965,-51.997381247244654,-18.945875425129284,-17.136130131211246,-17.196477172202453,-20.172221343096332,-20.38385665354352,-16.908866524535856,-17.871909814016835,-19.92021903344402,-18.99955301771718,-23.143814956671367,-45.45701996482521
-15.32434949543317,-16.764148175116595,-22.052202922875782,-15.325109887441238,-18.043001885625664,-27.502985156803547,-69.29643951069903,-16.286559537055815,-15.902787091249278,-16.055069617231425,-15.33901094636073,-15.335545992372612,-15.395391989524333,-15.333307918839113,-15.679153287763874,-15.602564604741588,-16.080617415265593,-16.955645066447538,-17.608539404525956,-34.15472408835666,-16.127694599073468,-205.26796175371172,-28.37877324703249,-17.856446304108893,-43.8764342195322,-148.61622167178115,-34.00281741702246,-17.360689701661435,-31.465160001051927,-22.631511626605842,-16.997281234648952,-15.86404219694818,-16.019595874381253,-15.86410169092071,-18.249427122249415,-24.560715668255934,-22.482931084972634,-20.554859997920428,-23.39134989079689,-20.289032384214924,-18.108242685674583,-17.154296527487787,-20.678895653505343,-38.481496464627185,-30.73452918577044,-23.929110441104118,-19.67711405655875,-15.864390183065217,-25.60290254126333,-107.76562454596372,-52.79938357923853,-18.606421241173617,-16.721679561959206,-16.785735279430497,-19.86943693467174,-20.090934368110396,-16.484818864810535,-17.48869715070282,-19.609537374218448,-18.64939867995957,-22.950397122746608,-46.00079597578346
-15.949651101495084,-17.302016131419318,-22.297357960486295,-15.950436447366693,-18.52812254346065,-27.49754883198368,-67.9718068926001,-16.84869418180907,-16.493559215005366,-16.63291473449118,-15.962673373857935,-15.959897680156677,-16.01527645954527,-15.957469984718122,-16.283820635611367,-16.20997269823778,-16.657895362782742,-17.481728940447383,-18.09171029042684,-33.79219907339532,-16.71657091287902,-196.1125560608091,-28.287889611939384,-18.33827990507092,-42.7621229381411,-143.99710793202811,-33.527594443560304,-17.8595412755752,-31.403882500148782,-22.91131027407202,-17.526234951006696,-16.51456418880019,-16.659102525860405,-16.514642459069673,-18.75432878006408,-24.72588336104506,-22.806891617861062,-20.98587684531716,-23.656351618311895,-20.724604144319706,-18.66565517445684,-17.72437483089909,-21.062216439792145,-37.904725276577324,-30.740779962969523,-24.114688363152883,-20.0862360944754,-16.51484777499639,-25.783430869319126,-103.46241812409909,-51.58563186048194,-19.09655262731479,-17.3142343302567,-17.386090526891813,-20.279306706746272,-20.50760145893415,-17.091359839949735,-18.052822418480485,-20.06447494200384,-19.137160755423405,-23.18184899836158,-45.07925230950262
-15.949651101495084,-17.302016131419318,-22.297357960486295,-15.950436447366693,-18.52812254346065,-27.49754883198368,-67.9718068926001,-16.84869418180907,-16.493559215005366,-16.63291473449118,-15.962673373857935,-15.959897680156677,-16.01527645954527,-15.957469984718122,-16.283820635611367,-16.20997269823778,-16.657895362782742,-17.481728940447383,-18.09171029042684,-33.79219907339532,-16.71657091287902,-196.1125560608091,-28.287889611939384,-18.33827990507092,-42.7621229381411,-143.99710793202811,-33.527594443560304,-17.8595412755752,-31.403882500148782,-22.91131027407202,-17.526234951006696,-16.51456418880019,-16.659102525860405,-16.514642459069673,-18.75432878006408,-24.72588336104506,-22.806891617861062,-20.98587684531716,-23.656351618311895,-20.724604144319706,-18.66565517445684,-17.72437483089909,-21.062216439792145,-37.904725276577324,-30.740779962969523,-24.114688363152883,-20.0862360944754,-16.51484777499639,-25.783430869319126,-103.46241812409909,-51.58563186048194,-19.09655262731479,-17.3142343302567,-17.386090526891813,-20.279306706746272,-20.50760145893415,-17.091359839949735,-18.052822418480485,-20.06447494200384,-19.137160755423405,-23.18184899836158,-45.07925230950262
-15.453757332392293,-16.86437346689676,-22.070034853364355,-15.454477669855391,-18.166363361230022,-27.497542768747138,-69.38385486871394,-16.39175456357438,-16.02480655750932,-16.16348138354563,-15.467987966208735,-15.464327617355597,-15.522873828264492,-15.462235550578649,-15.806354841613576,-15.724906059426466,-16.19632098841497,-17.06930962190805,-17.69077848270728,-34.06609542485128,-16.270469220219038,-202.81216336401866,-28.312212719361824,-17.945648844148046,-43.29346681528459,-148.88749175623903,-33.717894531099404,-17.458306082021174,-31.64470210246355,-22.72030048317076,-17.106283941551006,-15.99742668141761,-16.14819906626997,-15.997497434470098,-18.32907148365026,-24.55633461758467,-22.587214364352562,-20.680801103815934,-23.468442137095504,-20.419616699622967,-18.269775869868752,-17.274159968728497,-20.754076599384945,-38.25311715967722,-30.835486226268774,-23.91446210069783,-19.704483790999657,-15.997733621622908,-25.69368153983316,-106.03725203460897,-52.451440188918795,-18.708987997744302,-16.839910239064515,-16.92237353061585,-19.918873981511283,-20.167956113991323,-16.606443671223865,-17.621642196295515,-19.711648200970888,-18.72845519938041,-22.933265526386432,-45.61565398302457
-15.866289156506657,-17.206192774575882,-22.215430281866766,-15.866968286820855,-18.517049699707332,-27.517040612846706,-69.19321876901903,-16.74965700128042,-16.41519515284792,-16.53232048269557,-15.879317743774074,-15.875728464859224,-15.93095529257776,-15.8737588388469,-16.20813274746667,-16.12189840422605,-16.573755018784954,-17.427304852745937,-17.988863927409753,-33.84033199323247,-16.687258232525686,-196.59626343486028,-28.219754418945605,-18.259063450777816,-42.1734235051038,-147.8897877781919,-33.22074858588414,-17.78312513717948,-31.925207387879446,-22.966951042964883,-17.45816506252907,-16.42519302094615,-16.565992673509715,-16.425285232440952,-18.635334304176986,-24.6397963314988,-22.87538368434205,-21.01809710560908,-23.683920596719,-20.76582709600355,-18.702258519458034,-17.65524430697832,-21.022074810749984,-37.77011556216313,-30.99949213851057,-23.98771102613424,-19.91180531557223,-16.425422890604665,-25.88858568594572,-102.33692470142876,-51.6238524235008,-19.042650368331394,-17.22620955242935,-17.336002366010014,-20.151207458087256,-20.4322922725731,-17.003320119558616,-18.017684889664807,-20.023491413617947,-19.025052429752517,-23.014316663151543,-44.84526692826619
-15.377164658345407,-16.78700446672441,-22.014404184804107,-15.377837774648452,-18.1318192772604,-27.504884403549877,-70.03681536382514,-16.311351103846665,-15.95246156719828,-16.081481000878114,-15.3914739291872,-15.387413368400528,-15.446140118060786,-15.385537105173055,-15.734506527428895,-15.647126533568485,-16.122065938281192,-17.011365711420325,-17.613151524938555,-34.108002132201776,-16.221058232592696,-203.55398020323855,-28.283330151063417,-17.878719199514506,-43.07811977466204,-150.9709366550474,-33.597559591613134,-17.39181751056157,-31.88638550227615,-22.728640677463773,-17.042145650213453,-15.916593828488672,-16.06621206264736,-15.91667012734772,-18.242562710059055,-24.503993589776606,-22.597379792582828,-20.66977805362898,-23.464421360327453,-20.41208598391409,-18.25298781593957,-17.207064615254765,-20.71014274663402,-38.22343110853875,-30.957014868795085,-23.842047394157753,-19.597227793701673,-15.916879729386215,-25.7324699930831,-105.7650151360507,-52.539827857017144,-18.653080640005005,-16.76282136237014,-16.862535486187742,-19.83344050180854,-20.107631066567095,-16.52840922327611,-17.57090093756151,-19.665268679717435,-18.646422605483338,-22.839819671108835,-45.55827651133602
-15.875147410688719,-17.222610109339385,-22.231901822687625,-15.875862447920172,-18.504553117668866,-27.50498825576862,-68.7381936062887,-16.766336051177255,-16.42332309121543,-16.548770647956314,-15.888244218837974,-15.88490363173321,-15.94032379989785,-15.882774208968758,-16.214933305931975,-16.133002727666803,-16.58436033725004,-17.428349051943513,-18.009738010364032,-33.83049787838099,-16.677522117492888,-196.62794010029265,-28.242919812320203,-18.269665224847177,-42.41602324531576,-146.52230816547336,-33.338878314924266,-17.79365406403626,-31.721354211233567,-22.93196402041393,-17.464285409783123,-16.435272489174363,-16.577731873967277,-16.435359048087136,-18.6605492846483,-24.66110628432682,-22.83389459012394,-20.9906016554231,-23.662918788573673,-20.734791433786647,-18.668549046764287,-17.660499815552807,-21.019565022159842,-37.832820445280746,-30.89739007647614,-24.024471032926726,-19.959429419094565,-16.4355237214538,-25.843208386506923,-102.85257751688724,-51.631456579165295,-19.043970137942065,-17.237879652237137,-17.333392748521437,-20.182820400569415,-20.445702166226276,-17.01432350987632,-18.01061463239003,-20.02277846085338,-19.04888563250501,-23.065755392685443,-44.94435836863116
-16.21260085394345,-17.52961865881149,-22.4077394568426,-16.213397871327736,-18.733587506197885,-27.506306512063084,-67.45959909901708,-17.08615261882765,-16.742451347180488,-16.87681657097479,-16.22494274587266,-16.222465499838414,-16.276002830695425,-16.219949942430063,-16.538294917597394,-16.465701013331692,-16.901309994370777,-17.704253091360275,-18.297179685950926,-33.65623326123384,-16.964383101942573,-192.45455966051918,-28.262379561378303,-18.54351457890785,-42.32822983742268,-142.15593065396027,-33.3497113888039,-18.071153245731974,-31.389833091981046,-23.034524097377137,-17.750070109853773,-16.788132425550604,-16.92823538878164,-16.788218802008174,-18.96930509272184,-24.804126621203366,-22.94860316561393,-21.1700532526572,-23.77357286940962,-20.91043740130823,-18.900770056886074,-17.96504974735302,-21.22818322908808,-37.68399065282749,-30.753154656295738,-24.20120980166079,-20.26319401044647,-16.788388844966203,-25.865594009067117,-101.75511566200578,-51.1104090852053,-19.305134287723003,-17.564157719872888,-17.638945814324007,-20.456016576854722,-20.686243987217015,-17.347048999531985,-18.290906706996577,-20.258303117382997,-19.34510343919133,-23.286830332888066,-44.72456051664049
