z_20231001,z_20231002,z_20231003,z_20231004,z_20231005,z_20231006,z_20231007,z_20231008,z_20231009,z_20231010,z_20231011,z_20231012,z_20231013,z_20231014,z_20231015,z_20231016,z_20231017,z_20231018,z_20231019,z_20231020,z_20231021,z_20231022,z_20231023,z_20231024,z_20231025,z_20231026,z_20231027,z_20231028,z_20231029,z_20231030,z_20231031,z_20251001,z_20251002,z_20251003,z_20251004,z_20251005,z_20251006,z_20251007,z_20251008,z_20251009,z_20251010,z_20251011,z_20251012,z_20251013,z_20251014,z_20251015,z_20251016,z_20251017,z_20251018,z_20251019,z_20251020,z_20251021,z_20251022,z_20251023,z_20251024,z_20251025,z_20251026,z_20251027,z_20251028,z_20251029,z_20251030,z_20251031
-15.870279456534398,-16.96170651953438,-22.25749045402188,-15.871129333639379,-18.175354308035494,-26.163298345376866,-69.51941957395285,-16.800218533937805,-16.424194469221543,-16.509010397120996,-15.886039311220468,-15.880218449798754,-15.923408123776154,-15.878392227515986,-16.202782379111348,-16.12758075859532,-16.43719269986973,-17.403215468391917,-17.904268618061508,-34.168490371643365,-16.689929212821447,-196.5877927874421,-28.604744957776475,-18.173966725498648,-39.89737532398045,-139.41167628719,-33.383189034126,-17.755716028257524,-31.990980295977238,-22.852490371642936,-17.474104231992644,-16.47014862926657,-16.589833476656104,-16.4703481102691,-18.694358662641395,-24.861995844913512,-22.597992716065274,-21.160297089425992,-23.761422341391825,-20.71364117792156,-18.770455712018034,-17.7180357538791,-21.16761359945106,-37.815320245968465,-31.39042058619069,-24.063660869315743,-19.657746353557535,-16.470786125839844,-25.980602360237377,-105.94648908195552,-53.14459631311386,-19.16561564325346,-17.286097043942377,-17.409096360482344,-20.303048165611283,-20.118272661587724,-17.05139346762029,-18.10160207450769,-19.4771446267627,-19.111937853903775,-23.116720929852914,-44.92365740506009
-15.932602831425408,-16.94619816992192,-22.305422233368514,-15.93352983556458,-18.135162466314014,-25.895829509061134,-69.70805797330084,-16.86875492868253,-16.487202603341316,-16.564281189815148,-15.94894952042322,-15.942645614336678,-15.983405490456292,-15.940781882687638,-16.26038887626894,-16.19059334401835,-16.47097923553791,-17.453111989786354,-17.92807913118205,-34.25186509076853,-16.752209455893226,-196.41855784338108,-28.738275827822633,-18.199108904710105,-39.21742128445216,-137.51904683422862,-33.44914892844435,-17.796831295115574,-32.05893673038889,-22.872666931379026,-17.53844873177074,-16.54256637288759,-16.656981163294738,-16.542786326599305,-18.752359543033975,-24.944738259267353,-22.56797253514116,-21.262195611646963,-23.81073088580645,-20.762671861454955,-18.85908740697458,-17.7862842933011,-21.249068798857287,-37.826080553193236,-31.532512707679448,-24.139119730087852,-19.643861411392606,-16.543271089208044,-26.066778715200083,-106.5504071806991,-53.57544081022314,-19.249535290232313,-17.3555203649454,-17.488586079590355,-20.379724690487556,-20.086066298762095,-17.119475513338678,-18.17868425880972,-19.44588448796843,-19.18021012110353,-23.151505727352475,-44.85966128366924
-15.432803799938,-16.666707585513485,-22.058421528462897,-15.433549072038737,-17.945692665368647,-26.511205587848202,-70.2030926738786,-16.39094748237943,-16.006740167556114,-16.10820186061478,-15.448734589348035,-15.443116574717825,-15.492204629177818,-15.441395663540074,-15.783268659470217,-15.700336585228564,-16.066051909672744,-17.038624061428603,-17.594820363861025,-34.28895027568106,-16.276674336105522,-202.33103275375765,-28.51627813216038,-17.859473756467928,-41.2925927928047,-144.91661301566924,-33.58999136064333,-17.414436326551183,-31.960982107903405,-22.673151637758853,-17.09282562364349,-16.003732390234635,-16.136206726094468,-16.003893882418488,-18.323933240747824,-24.661705319236297,-22.446008447004107,-20.797129334432373,-23.546465210712885,-20.414360492461757,-18.349024536197444,-17.302619640006895,-20.844551365198946,-38.147124819963224,-31.238986197611382,-23.870608193739518,-19.428353030697867,-16.00429776250297,-25.794465246108068,-107.67317917715776,-53.38322442740604,-18.779455188295987,-16.856050068103038,-16.9650543885408,-19.966599794157716,-19.917055096960542,-16.61381888363563,-17.68071765720278,-19.277590976823156,-18.742219274749104,-22.922819124778787,-45.49303053053898
-15.925439492463996,-17.0445875816759,-22.32822360290978,-15.926313799130263,-18.21611589473637,-26.24654932081691,-68.5273570955118,-16.863779013034765,-16.47586751152458,-16.574950044027673,-15.940951786051166,-15.935755535913387,-15.979099585706837,-15.933609375734475,-16.254228142469973,-16.185803884542207,-16.49859517513207,-17.44121932963349,-17.979835129718857,-34.10218617932353,-16.707811521514973,-196.86360574629984,-28.639437445037764,-18.227558732830097,-40.34381614755482,-137.9052969581012,-33.60649645844162,-17.809598453187185,-31.62718268336186,-22.797875947637003,-17.51512823146173,-16.526898860267295,-16.648580646370508,-16.527102428353302,-18.770205554172268,-24.895779619043733,-22.577769144645092,-21.101855023854853,-23.70548378314028,-20.686000678080035,-18.725339588199397,-17.756723953241764,-21.17940498954944,-37.898273997206175,-31.147715828639278,-24.125732937462537,-19.765799139522187,-16.527579095046804,-25.886399893839208,-106.49825153498449,-52.872169934661095,-19.189647206092445,-17.339765255807187,-17.430755023227054,-20.37745347972045,-20.19314754365824,-17.10554001066609,-18.111902823401433,-19.53723788408457,-19.18169219304552,-23.21166171865831,-44.99002521772531
-15.90455265006659,-16.99881958750617,-22.37763104854433,-15.905481292726947,-18.138336172425255,-26.092805578167855,-68.30095583028458,-16.86212844958335,-16.458625609195717,-16.5615621374757,-15.920540235251648,-15.915274371203864,-15.957353702867948,-15.912958773801714,-16.231309409523035,-16.16992377533769,-16.465741430794758,-17.417172008978604,-17.965112844666404,-34.17397027524544,-16.670064710064754,-198.4900772535731,-28.77244510294743,-18.201930176958328,-40.2464852372311,-136.56008249468556,-33.866145670892365,-17.792442195274408,-31.486134963257683,-22.73604043670816,-17.50065418211259,-16.51076858145082,-16.630955187205647,-16.510991949709002,-18.777770487040158,-24.95038739284336,-22.50117195956642,-21.062321999566507,-23.65637531222064,-20.633547437421996,-18.67000232430741,-17.739429521060345,-21.187865091051815,-38.04723158926568,-31.10301802223109,-24.17830047667173,-19.74575882655227,-16.51154494871416,-25.852479510461336,-107.96620605655244,-53.16681346502867,-19.188025939751924,-17.328252109597088,-17.404296731576643,-20.411107288362764,-20.146584328989494,-17.091118397854984,-18.083557948577827,-19.467093395015425,-19.19481587774516,-23.252286498984684,-45.12104850244427
-16.209467898312553,-17.314448328012933,-22.497206589428792,-16.2104032279861,-18.427660393125194,-26.33141953037547,-67.39253784704792,-17.13208105733643,-16.74466728991121,-16.851931102827507,-16.224180309940497,-16.21983074560625,-16.261683817419186,-16.21735482909646,-16.52651109498828,-16.46617883321579,-16.77081562875574,-17.675146969207145,-18.22567683260654,-33.93598091967754,-16.94652518232502,-193.98076212423152,-28.6577545181758,-18.46119653095604,-40.34899771387717,-134.98959254958433,-33.65789070281319,-18.0450209788256,-31.352876210135733,-22.88048828023297,-17.75421300639592,-16.82301951304121,-16.942534987344246,-16.823233903851417,-19.030962528459096,-25.008552226892874,-22.695764443461282,-21.230360730323596,-23.772242545373654,-20.831694415847632,-18.907545179941355,-18.00745951393077,-21.351065798510554,-37.78442405188104,-30.98679111369686,-24.270807228450117,-20.02421266478406,-16.823723309253698,-25.888328179934497,-105.55888985873705,-52.32140634415316,-19.40428754634437,-17.610686828337435,-17.680732683983994,-20.604116752516326,-20.412374615057775,-17.383423437538767,-18.33881908592238,-19.762564890942148,-19.429777197307164,-23.393657836261877,-44.7835660951751
-15.985794351313974,-17.00817155120912,-22.35378864801608,-15.986732748989203,-18.17304366571527,-25.916258682846344,-69.06160708272533,-16.92527805505909,-16.537412303070273,-16.62071543061861,-16.00199517427081,-15.996004640865847,-16.03637775667899,-15.993939286673786,-16.310815005753152,-16.244887584833325,-16.523155722622665,-17.492115244227545,-17.98595442387072,-34.20035770518473,-16.78324305780947,-196.28001134739748,-28.762133282673055,-18.24302360916204,-39.365086429296994,-136.3934259855699,-33.555885566054236,-17.844324538634773,-31.847365927482418,-22.8430903324155,-17.579461411572215,-16.59821362101788,-16.712693385114353,-16.59844140808785,-18.81282554803799,-24.96880996612292,-22.56231156675854,-21.24240021348878,-23.784449141785277,-20.761263652447504,-18.851376889271258,-17.8285012928548,-21.267895685032464,-37.85086812955403,-31.393970600518024,-24.17758344169515,-19.709684532986966,-16.598951706665346,-26.018684689239983,-106.74114477109421,-53.36480224527493,-19.280739414679896,-17.40735784027751,-17.522101272724196,-20.436637329924622,-20.139240219548878,-17.171763538213128,-18.2045346626209,-19.487439559520425,-19.23787284417702,-23.209054768271752,-44.84490285836364
-16.36044229742475,-17.445246810177494,-22.559349412847073,-16.361393424200585,-18.545235290933707,-26.34414550293006,-67.08535876886896,-17.268604983410032,-16.88765200547589,-16.99242861586166,-16.374780021222247,-16.370615280952677,-16.41144550616261,-16.368078393500358,-16.672319900328638,-16.613061565843026,-16.91142103141325,-17.802442876137935,-18.34362786822123,-33.85684243365155,-17.088052606790928,-191.89237184502952,-28.64313077287528,-18.579525482039166,-40.12913310677058,-133.859007493751,-33.559093091955866,-18.166686138294924,-31.34085654222767,-22.950958343423054,-17.882857235008924,-16.98035039101276,-17.097443804244094,-16.980569905371716,-19.155551787248367,-25.0540281236916,-22.775938098527224,-21.337321386302683,-23.840520177048514,-20.93725959673711,-19.04200013079511,-18.145079235066323,-21.44549928210318,-37.66026002729829,-30.99199678736107,-24.324360617555794,-20.130518689824836,-16.98104372088943,-25.9354533407229,-104.59611803427296,-52.05714988120511,-19.523634520332415,-17.754042200704742,-17.82614516907784,-20.706763319867605,-20.51678800749301,-17.530553093377566,-18.47519253361593,-19.87705452726428,-19.550211768992654,-23.45710333137459,-44.59214613913354
-15.748161105209325,-16.85226543972427,-22.343493692111082,-15.749095521435505,-17.99340800517547,-26.024014449513054,-68.57201171027,-16.72812301065465,-16.311956474701578,-16.41871932695325,-15.764706606596075,-15.759228148128175,-15.801801523605086,-15.75690374473254,-16.07938364376091,-16.01977038791211,-16.31489633081169,-17.283891200853233,-17.844302574890214,-34.292076458920114,-16.516998206690282,-201.35128083721335,-28.851302880979105,-18.076736738277248,-40.420967944637205,-137.28417170854885,-34.08107817619752,-17.667169013214227,-31.45960504996222,-22.648018548678753,-17.36984083438185,-16.350002557333276,-16.471936568147893,-16.350229657287578,-18.65937899462636,-24.933673144973746,-22.39743620955638,-20.94434830066692,-23.57285534542444,-20.512493790119425,-18.5180336443746,-17.598332237081095,-21.10299219072601,-38.2435988990007,-31.092460325401667,-24.15139857145821,-19.63306557445943,-16.350827229488456,-25.798623777645375,-109.56123527201167,-53.569940441521034,-19.07281057485398,-17.183332831993972,-17.251646468951094,-20.32580561435572,-20.02666835523076,-16.941213709119577,-17.939531538760935,-19.32824724387417,-19.08310527250248,-23.2079651477306,-45.37698924455742
-15.7389460080097,-16.88691057099726,-22.22899746948835,-15.739781620576322,-18.09239935171484,-26.27137137263913,-69.15155680435448,-16.687966113637454,-16.29874992912701,-16.39736290892711,-15.754789563106193,-15.749305947141751,-15.794237393083847,-15.747321104896331,-16.075373126273796,-16.002405390581032,-16.32772263901229,-17.287352099441815,-17.829373921062864,-34.19279082415243,-16.543992640916148,-198.98276958547513,-28.617455358260607,-18.082827743619386,-40.57613447985736,-140.0402185129277,-33.61995939253759,-17.658347912257913,-31.746607122149648,-22.74097939735907,-17.356344709654213,-16.33088788200136,-16.455615346199078,-16.331080150459407,-18.604383803826693,-24.820025367679726,-22.50884672633108,-20.993006166311286,-23.646616963283183,-20.579130833638843,-18.58500499758766,-17.587794504503783,-21.05995957192406,-38.00099846399739,-31.197966716509136,-24.036530912506045,-19.62507217151108,-16.33154573789708,-25.857294746129483,-107.17451358875738,-53.15368544538304,-19.040794774324983,-17.15980287517911,-17.25763911559205,-20.230971309977072,-20.070713722662937,-16.92166668586935,-17.952272785941865,-19.41227255013672,-19.020616104088347,-23.107801289598726,-45.18094355937675
