z_20250401,z_20250402,z_20250403,z_20250404,z_20250405,z_20250406,z_20250407,z_20250408,z_20250409,z_20250410,z_20250411,z_20250412,z_20250413,z_20250414,z_20250415,z_20250416,z_20250417,z_20250418,z_20250419,z_20250420,z_20250421,z_20250422,z_20250423,z_20250424,z_20250425,z_20250426,z_20250427,z_20250428,z_20250429,z_20250430
-20.3932708943189,-20.56760263026652,-20.46554379030016,-22.033907247944562,-32.70883833355145,-20.422091631365145,-21.91603263933677,-48.06353686773564,-54.679719104407724,-21.033358006799602,-20.411700991528267,-20.63231293191315,-20.495535142021435,-20.84505866279865,-36.988647347241894,-20.507575116415676,-20.455566342432046,-20.39340204375623,-21.560371985341778,-23.048394073664056,-26.956063352972375,-50.19493643286489,-225.61104342875404,-102.71455765745534,-21.99261835292493,-27.454748315110777,-22.785873840268497,-21.64196937231078,-20.492528938573262,-20.452497408406796
-20.419629195471106,-20.615049513567847,-20.4934997289483,-22.093452347442422,-33.030132580438206,-20.44408636827958,-21.991816034937962,-48.618925948061225,-52.74460050552567,-21.06467321106152,-20.439329667494633,-20.654842952100548,-20.520309151845513,-20.881143263137965,-37.16240226530976,-20.53892137697687,-20.48728315822874,-20.423361777196096,-21.612219714931722,-23.051231044625894,-27.006897720709645,-48.04660978354755,-229.32496707387506,-101.19410498182341,-22.025181565273552,-27.6489583983912,-22.836519876077844,-21.693325302772458,-20.516063852567825,-20.478269574462384
-21.38507787549084,-21.54096053753799,-21.46655144261009,-22.981234258778695,-32.70688907673717,-21.414388291125384,-22.830368941207198,-48.42607793998661,-51.57119221345809,-21.94109360876496,-21.398782957317742,-21.586570733367964,-21.4501998575284,-21.728808336473225,-35.17408328103476,-21.44257658443034,-21.441817814333525,-21.390224744713418,-22.4207097575144,-23.79871341099127,-27.494784668467585,-48.33084267004035,-218.3931654271754,-96.06918608898533,-22.711292192782537,-28.064089396388017,-23.600480787718173,-22.42098100968873,-21.47855922960086,-21.451564382068348
-19.976125402936503,-20.165675245845478,-20.03044862519017,-21.811996813052446,-32.411698533845275,-19.994772110071548,-21.70248506638649,-47.62016847283333,-54.57681597029628,-20.599263337634778,-20.019484817737737,-20.22481127678662,-20.113536366458895,-20.475494319791864,-35.93276702176503,-20.177355868060204,-20.068640971719333,-19.9842688309114,-21.223732991437824,-22.932462273345102,-26.882497365855407,-51.40756516737871,-234.2669024521722,-102.56393549593685,-21.6538590929476,-27.58234506281229,-22.599357206177757,-21.197002314900004,-20.071083683377612,-20.019101280349958
-21.12277531086848,-21.284601748329123,-21.18851331630478,-22.863913718316837,-32.47871617615719,-21.144677518491818,-22.709872691328055,-47.91423816949814,-51.954163295148476,-21.660176870545545,-21.157207578348352,-21.33109634150995,-21.21753157328552,-21.501048544810267,-34.38054750067756,-21.247890864440297,-21.202961217259446,-21.13294062293781,-22.204521312800804,-23.77305980652917,-27.486429820656312,-49.8513936651386,-223.41524572148515,-95.9393841498308,-22.499577267527577,-28.120617545898476,-23.49616464255498,-22.13259664994834,-21.21279634549561,-21.17572791944568
-20.5769578114451,-20.751522821478794,-20.6704896275445,-22.058317383508584,-33.57686412351699,-20.614894883139364,-21.928601526078623,-49.23139850850295,-54.65278952238685,-21.262834221057567,-20.571110938782315,-20.805023686007583,-20.643904766704175,-21.00794600274978,-39.53349632687856,-20.600902151701366,-20.612540244313593,-20.56832559084602,-21.68814898603145,-22.943241465758568,-27.021937226846216,-47.998822707208134,-222.85192936553076,-104.53727660754231,-22.168578303925408,-27.251527033715696,-22.77157584727058,-21.99135121287263,-20.681126461639465,-20.65419988817345
-21.298852665187475,-21.4473902219043,-21.402597422336186,-22.7091235654653,-33.315613748543996,-21.34135030856332,-22.54855148986968,-49.35828191705664,-53.06102639916871,-21.922448314159208,-21.283744870837157,-21.4984664445693,-21.330473730115923,-21.631721851439963,-37.84336168787972,-21.259201094965864,-21.322321979107986,-21.291106286583783,-22.291844765479738,-23.456763145659284,-27.332883532048246,-47.36376484651747,-215.56765442770856,-100.36807797411566,-22.66330171162492,-27.604026888922643,-23.332877909884388,-22.525388280484908,-21.40030371484342,-21.385281133625465
-21.586062220157576,-21.717648009044265,-21.69627710357505,-22.949341700249896,-33.277477205932676,-21.633102563945396,-22.769068130110167,-49.52689155497573,-53.11257274184077,-22.189101096542373,-21.565927704741046,-21.77350844465723,-21.598918474483092,-21.87408957085447,-37.3975487589793,-21.511089825118205,-21.601003586570705,-21.57683258054521,-22.51900319315973,-23.65402636402528,-27.461423909128897,-47.628292300088425,-212.31527149692806,-99.586151552248,-22.857811140857805,-27.683449167025245,-23.537098763417916,-22.74824800444858,-21.688177338004845,-21.67897388482562
-21.3205440961704,-21.46366222837633,-21.42271181731036,-22.735959492132977,-33.19256674940553,-21.363423066296487,-22.571441650620265,-49.20330973998196,-53.35139546127337,-21.93648294903798,-21.307456133612934,-21.520612754745983,-21.35366629159155,-21.648515856043783,-37.491901154657626,-21.285846557180026,-21.344843273679146,-21.312944060363876,-22.308153812661583,-23.501390701670253,-27.33578399656532,-47.920476344478594,-214.8012469720361,-100.28786105252576,-22.672259223293835,-27.611091916038493,-23.359873610756985,-22.515883956673903,-21.42200374946004,-21.406131897246585
-21.21647171380904,-21.357828433696397,-21.306702462794764,-22.700355039819698,-32.75297693712102,-21.25571838291221,-22.542352652317327,-48.515474015966475,-53.93588977245594,-21.81479271927909,-21.215356579553482,-21.424751835468022,-21.27035336246987,-21.560861049865956,-36.38018353698531,-21.228987847729737,-21.252739354110368,-21.211866874407793,-22.231979535340294,-23.555092723319472,-27.3188384867378,-49.54515560430245,-215.42132398003554,-99.89881568526087,-22.583718205530815,-27.66199914589518,-23.347418474638186,-22.341018557147425,-21.315850018735745,-21.292441409683892
-20.245841061079517,-20.43296290634012,-20.301575466266197,-22.09700250590001,-32.498740841521524,-20.262943862670145,-21.97397611441211,-47.840515529679735,-53.29812162559597,-20.841656804114375,-20.29142451375208,-20.482663382692262,-20.37491989970834,-20.717080755913567,-35.3606327643963,-20.43844626823721,-20.340794571226876,-20.256505276974618,-21.460997028118822,-23.15440976487629,-27.04182773792646,-50.580397802206804,-233.46055206267096,-100.2879592538532,-21.84441717217905,-27.791798541002713,-22.835209678034055,-21.405709864337915,-20.33818949168789,-20.289567545144333
