z_20230501,z_20230502,z_20230503,z_20230504,z_20230505,z_20230506,z_20230507,z_20230508,z_20230509,z_20230510,z_20230511,z_20230512,z_20230513,z_20230514,z_20230515,z_20230516,z_20230517,z_20230518,z_20230519,z_20230520,z_20230521,z_20230522,z_20230523,z_20230524,z_20230525,z_20230526,z_20230527,z_20230528,z_20230529,z_20230530,z_20230531,z_20250501,z_20250502,z_20250503,z_20250504,z_20250505,z_20250506,z_20250507,z_20250508,z_20250509,z_20250510,z_20250511,z_20250512,z_20250513,z_20250514,z_20250515,z_20250516,z_20250517,z_20250518,z_20250519,z_20250520,z_20250521,z_20250522,z_20250523,z_20250524,z_20250525,z_20250526,z_20250527,z_20250528,z_20250529,z_20250530
-10.077929636000748,-10.037279291878162,-10.182551339671724,-11.965654574441293,-10.034137523015874,-10.070394764944913,-10.034137523015874,-10.034137523015874,-10.05539958335826,-10.059312721430965,-10.170197051024457,-10.163620147392168,-10.034404459355704,-10.039180295359108,-10.036188714257145,-10.053345538765996,-11.907968565793231,-10.872055391215953,-20.437633128958176,-50.34058833643868,-74.69879738553959,-205.21611850265944,-37.900541706197245,-10.27776943690901,-11.195217988878278,-10.117891340570615,-15.199584432290944,-15.320397300478657,-11.197838020857313,-15.931607629585526,-15.773345270408676,-10.41031177305549,-11.375814766397273,-61.10180487186649,-125.26879344923522,-46.69930134129429,-45.31072289639664,-10.738306169063323,-10.410240607650426,-10.93979288993551,-13.78772294944807,-15.391043188098205,-36.095483168301186,-14.693305834946418,-40.27388386467544,-14.96601760129073,-12.518702221117005,-15.607419662316675,-13.433870166336503,-13.871881555241508,-12.955262379885221,-11.441055318812516,-10.590459502334774,-11.52517396697019,-15.962604823646608,-25.775601726972944,-13.795124260135719,-11.209918234589505,-12.696484470894802,-22.012886321533678,-37.1275105054966
-11.146159275324802,-11.108363559269682,-11.240681678212116,-12.846678741816701,-11.106090703091768,-11.13881141296633,-11.106090703091768,-11.106090703091768,-11.125091192453487,-11.125327833827633,-11.227969989700568,-11.218388668724922,-11.106295830413629,-11.110527413213193,-11.107877891657152,-11.123270101862936,-12.817833927867404,-11.863992476077588,-20.547741639090493,-47.9104308220395,-70.18065742870412,-190.50888313924776,-36.51203359490158,-11.324454315389653,-12.160186550172101,-11.18168613803856,-15.769385004268788,-15.914994358987345,-12.15277588551586,-16.487819092697563,-16.34906337275763,-11.524564702216528,-12.398105097011733,-57.95270390342194,-116.30482517326439,-44.612814062526176,-43.466724633025166,-11.821428163722054,-11.524529579981866,-12.004276943873567,-14.580534123700076,-16.057768044255496,-35.013285235869844,-15.447176245328176,-38.70945681872022,-15.67579279979118,-13.42171290115113,-16.24169670482967,-14.275073010167036,-14.661468374619416,-13.838733377940674,-12.392645100635104,-11.687500421690517,-12.52804236172973,-16.57906038299409,-25.497651823765242,-14.601691672824625,-12.236105178519002,-13.598098670311368,-22.071015678384924,-35.87874612644713
-10.646701207066652,-10.60549572454124,-10.746823340204092,-12.427217134706376,-10.6032325411747,-10.638183578192917,-10.6032325411747,-10.6032325411747,-10.623759505788986,-10.623220015972757,-10.729841477016608,-10.722670771957288,-10.603487642949736,-10.608097013864672,-10.605300083228736,-10.622108703652193,-12.365833688360091,-11.405150096967192,-20.43168852979779,-49.71789979698626,-71.91040225286217,-198.77487847085632,-36.49388285754008,-10.834686799676945,-11.721611001522794,-10.683449286737659,-15.456585516056018,-15.593450873615692,-11.697252206970953,-16.11949128946649,-16.00376651637101,-11.013700513195992,-11.93379868952124,-59.73325342948952,-120.13916625877613,-45.64630083717455,-45.21530674398494,-11.324493842855594,-11.013660125300284,-11.518333931041763,-14.2225096054702,-15.773435781926647,-35.58716543937281,-15.035595514627772,-39.35556739151538,-15.451079394801013,-13.007510778227578,-15.847920121555333,-13.86916070085399,-14.256159833028809,-13.360694868517012,-11.97760044704986,-11.185610588462628,-12.074029108860957,-16.32298256254002,-25.73598018388688,-14.24148690732179,-11.753972632872003,-13.205629736834002,-22.07661408478954,-36.32579823231685
-11.016097757707946,-10.979659342817454,-11.112245817459419,-12.714444912795402,-10.976646753856507,-11.009173255791367,-10.976646753856507,-10.976646753856507,-10.995447947129257,-10.994573239028249,-11.106089683357384,-11.08555591635607,-10.976864336512728,-10.980947190275431,-10.978319930819294,-10.993540154906825,-12.794016521818858,-11.728847337113782,-20.405854059185454,-47.550778948415775,-70.81636542029281,-193.81132689477474,-37.09403905177529,-11.20000416789749,-12.029953264143442,-11.052758809110976,-15.563259578891824,-15.876978017671178,-12.011259093153727,-16.59341117872958,-16.46873763951133,-11.360024645254134,-12.23438952327807,-58.69230076462078,-116.05525577272583,-44.7384417794746,-43.56654207884526,-11.658490865569306,-11.35995706614053,-11.838380198587918,-14.417430666731173,-15.979450464614319,-35.448830642077695,-15.55006596938432,-38.765716193794354,-15.513408653806824,-13.251923041607606,-16.179233663544082,-14.219511838441381,-14.55309445919557,-13.839926711987507,-12.24078061734763,-11.530425363303655,-12.361549542253591,-16.52065068578388,-25.320137679932497,-14.48292126226878,-12.065383611551761,-13.454012806118818,-21.933397583475767,-35.77749592757308
-10.717226342054872,-10.678224648970149,-10.817614108630236,-12.44423662572392,-10.675152131425389,-10.709125750811241,-10.675152131425389,-10.675152131425389,-10.69494876705929,-10.691210374792982,-10.808816735858587,-10.785245502835611,-10.675413882235883,-10.679721360896314,-10.677022259137477,-10.693265512883228,-12.556037122252983,-11.45020498317792,-20.224678806755676,-48.608114711957434,-71.64473688137974,-200.83443535667743,-36.96298195615903,-10.909213986734088,-11.768659407939747,-10.754412249849025,-15.275392768175754,-15.677003042588996,-11.71999995167778,-16.40830048409533,-16.311365651143813,-11.049083507920983,-11.949488139380625,-60.127440240526965,-117.42271121933163,-45.42019767538791,-45.14055149476055,-11.353858070850485,-11.049008317654765,-11.539659759387405,-14.18397605526481,-15.81850063947917,-35.87207089597686,-15.357098136868263,-39.07276491271212,-15.416001984784355,-12.981461161278627,-15.902010623230733,-13.993917317954502,-14.290843262397884,-13.56875697622887,-11.997857096677079,-11.228271494515559,-12.08053045439375,-16.40733498566121,-25.446304044818767,-14.273719163564031,-11.756198330163036,-13.221971437634686,-21.915471289815947,-35.90283475090119
-11.251421170634757,-11.21254150635941,-11.345998207241133,-12.91638281246928,-11.210524642513663,-11.243244862975658,-11.210524642513663,-11.210524642513663,-11.229582274757107,-11.226457626567086,-11.331052460617762,-11.318188710561975,-11.210738830925829,-11.214955997113606,-11.212378046953505,-11.227980289398328,-12.916849333367896,-11.960932314575931,-20.45592005254145,-48.00999192377749,-69.43882780335656,-191.3339713943989,-35.98147758391407,-11.428750133586169,-12.262372997379087,-11.285931334120264,-15.73204033832278,-15.951739911363454,-12.228850690388397,-16.522282897227065,-16.410866075922442,-11.634279146712739,-12.499205591795686,-58.100621221485284,-114.67618832054495,-44.47018202808389,-44.07689308269227,-11.926603286176134,-11.634252104508953,-12.107860169807878,-14.649882640312063,-16.147385181602022,-35.05095127184178,-15.538032601799536,-38.45425174417354,-15.820019167946565,-13.496850210575555,-16.22949537583586,-14.36384780083618,-14.704471711348896,-13.905466515534386,-12.503139386512396,-11.798324332767509,-12.626076557032922,-16.684456256196782,-25.502631944466494,-14.694625044651314,-12.318926749906284,-13.702275309432636,-22.070882537550435,-35.59035360062804
-10.527014490763408,-10.485685668502752,-10.627936316527412,-12.338974414939443,-10.483333702758088,-10.518656486095647,-10.483333702758088,-10.483333702758088,-10.50409068906007,-10.505032613718111,-10.611140222519923,-10.606367342263702,-10.48359507457559,-10.488283834030836,-10.485423544273484,-10.502397103584405,-12.251859640166604,-11.296920127595875,-20.471252991941835,-50.018857037581455,-72.53213055081068,-199.49227074366024,-36.70549964132241,-10.71673108813473,-11.613925859264942,-10.564419007169805,-15.442798858875197,-15.529547623593846,-11.599950762693341,-16.037098186799717,-15.915229411176949,-10.891846411218461,-11.823691918801023,-59.92562757557755,-121.58700306395173,-45.88937857435413,-45.22808420227054,-11.207092302034003,-10.89180162557986,-11.403901458874314,-14.145851050226888,-15.696076144107344,-35.652819597156885,-14.924901166831567,-39.59714424125641,-15.362190622769408,-12.9196068382378,-15.79629403207451,-13.770100142669268,-14.182646504758123,-13.256926896922206,-11.87121246335184,-11.06441867349224,-11.967481170035994,-16.239162472213167,-25.79641098139335,-14.149627652078316,-11.650857938642046,-13.10581240335419,-22.095315888913234,-36.54836733156681
-10.79312843893877,-10.752514582972186,-10.891432431872811,-12.562257949090124,-10.750402164778059,-10.784848868394011,-10.750402164778059,-10.750402164778059,-10.770599033747486,-10.770980835807487,-10.874449430494073,-10.869780691744362,-10.750647890298326,-10.755213048715557,-10.752428383566999,-10.768962050382395,-12.472991266489663,-11.545247498418446,-20.51819552461256,-49.43807985896657,-71.45735462807816,-195.52338070258477,-36.374139280790985,-10.977184531292405,-11.854693623843106,-10.829453604353246,-15.60345199574596,-15.679134586869543,-11.841503986091912,-16.167085491488614,-16.0486283386604,-11.17116392588666,-12.080708827809346,-59.086887109914606,-119.5324871800534,-45.37596577490179,-44.71249936417185,-11.479034569159213,-11.171129160117951,-11.671583155336137,-14.348438437008557,-15.861607088938214,-35.362435976682484,-15.101502595781787,-39.23218127594172,-15.538422669733027,-13.15004549633286,-15.961206004757228,-13.977864059073472,-14.384821005038614,-13.474475594446528,-12.109392999529096,-11.338914106689662,-12.220018556681124,-16.387728622873915,-25.73961166347285,-14.350712809391403,-11.911443662689257,-13.331567095867204,-22.120423360449735,-36.27091089504457
-10.434601925102058,-10.39898402808939,-10.533658009849159,-12.28155253560055,-10.395345027372551,-10.429107760041125,-10.395345027372551,-10.395345027372551,-10.414841971025764,-10.422996661683813,-10.530704283818348,-10.521036827991255,-10.39553960571586,-10.399864506378146,-10.396995809514934,-10.412357284583566,-12.253437546085681,-11.191734561227799,-20.61343885117021,-48.329248498110886,-74.14575267258084,-197.54651814848623,-38.826470375624375,-10.626198900799508,-11.491044782556866,-10.474457059844939,-15.48764989903733,-15.639713345498958,-11.537751432230309,-16.31428663066378,-16.125178104894374,-10.760982939755813,-11.685500766724498,-59.36042158635979,-123.3463286370653,-45.70506541579614,-42.92764154378895,-11.080548349798065,-10.760904484923065,-11.269950565631431,-14.01710349358703,-15.563870192926878,-35.740013959761114,-15.067792366592524,-39.8737770656949,-15.010427623987455,-12.804325268453077,-16.016337574198673,-13.740534598236948,-14.202055356742429,-13.396511905134286,-11.695514571524393,-10.932767395707113,-11.82496261360896,-16.078504160750093,-25.43500972962556,-14.02019384598648,-11.559813634722829,-12.93277837846431,-21.94069962367133,-36.96538031006208
-10.741694550514802,-10.705559293718665,-10.837374105904116,-12.5761602362834,-10.702594500938769,-10.735925274994601,-10.702594500938769,-10.702594500938769,-10.721846828307156,-10.73142041466616,-10.82949422020512,-10.830998059332762,-10.702788058038864,-10.707228180246016,-10.704312923967251,-10.719655019457495,-12.43631417259201,-11.496436186112692,-20.813035158669358,-48.30553430815861,-73.0213083558789,-191.0792409110848,-38.15808705089868,-10.924953737888712,-11.784181910447547,-10.780248672507536,-15.84437678599444,-15.784909979207193,-11.84982164562631,-16.278008809285232,-16.08991011699034,-11.110972626783498,-12.021438297966,-57.993450025212184,-122.5829069221794,-45.35599240737689,-42.49254803091057,-11.424959656526223,-11.110917135340214,-11.616364233315004,-14.328526565167419,-15.755800244695706,-35.02332207414333,-15.073294553675222,-39.7230776607727,-15.307166594588502,-13.143758696687335,-16.205758553175635,-13.948287040110442,-14.479421878404622,-13.562166948377174,-12.010638780601603,-11.273006632370905,-12.163324077059926,-16.234589721122077,-25.658212948744136,-14.271242634139547,-11.918895794825415,-13.231528966901948,-22.16152944998793,-37.00060033872552
