z_20250401,z_20250402,z_20250403,z_20250404,z_20250405,z_20250406,z_20250407,z_20250408,z_20250409,z_20250410,z_20250411,z_20250412,z_20250413,z_20250414,z_20250415,z_20250416,z_20250417,z_20250418,z_20250419,z_20250420,z_20250421,z_20250422,z_20250423,z_20250424,z_20250425,z_20250426,z_20250427,z_20250428,z_20250429,z_20250430
-20.32698645094381,-20.454428760298185,-20.327066570783252,-22.18495208019955,-30.080854158534414,-20.372548134694984,-22.171351141567335,-44.929906921839724,-61.48165365811296,-20.79205663050922,-20.371684077322765,-20.50663044705734,-20.501348689650367,-20.758723864958803,-31.41016340798042,-20.533195431479573,-20.423963980847745,-20.31247664038289,-21.357591748049114,-23.81090979084658,-28.984324762003975,-62.514123811520356,-232.34733063700435,-98.3584972159106,-21.748933319353068,-29.086265103288255,-23.16873842074376,-21.237066921411685,-20.373087931441706,-20.32954349195067
-20.57951928972861,-20.704778132184853,-20.58189837657402,-22.4185974562264,-30.161484470534162,-20.624788628632928,-22.384544801212716,-44.8830993806087,-60.67270631209398,-21.02924071322748,-20.621745206098154,-20.75312167543036,-20.747198494190425,-20.990290746562444,-31.361229300286155,-20.77389951688779,-20.673285103542323,-20.566005313937726,-21.58171685237881,-23.966601664691368,-29.10418241593247,-61.505321127946786,-229.64247669486056,-96.86418392215353,-21.954835120390694,-29.153097651536655,-23.365626605305273,-21.46255362068739,-20.62475840440241,-20.584022314447633
-20.853800419039846,-20.9803795192498,-20.85597097088832,-22.724075870371347,-30.278838925492565,-20.895516933200245,-22.642802811200628,-44.791960617544945,-59.53470229299278,-21.27751491505988,-20.89625918989831,-21.019968178671512,-21.019666399176668,-21.242340356548226,-31.248584034350394,-21.047223586511894,-20.950288088863488,-20.843271378493057,-21.827899303508122,-24.14026435085836,-29.35655060932786,-59.901969071565965,-227.91344068654942,-94.56662644175398,-22.178746724673434,-29.298729129385336,-23.619827185100302,-21.705512472437913,-20.896529745476688,-20.857623948021633
-20.29020945833126,-20.418041491129095,-20.289905866239067,-22.151898599183028,-30.06966813246156,-20.335753848896413,-22.140831947258942,-44.93643490039362,-61.59556523063501,-20.7573412963324,-20.335318561919507,-20.47072099821827,-20.465646997513993,-20.725012627771264,-31.4164718835051,-20.498361178625036,-20.38777382315749,-20.275591723024686,-21.325030744268318,-23.78831080043203,-28.969413110682538,-62.65239027130113,-232.76742638052875,-98.564696753318,-21.7189888211285,-29.078245884185584,-23.140904538773846,-21.204211122806576,-20.336407646129146,-20.292431846202398
-21.084177556086047,-21.20881302646016,-21.088499171122354,-22.937904041497976,-30.38592161567963,-21.12572041222297,-22.839603336452974,-44.8139665383633,-58.878049858974876,-21.495281417163497,-21.12461911145906,-21.244957126527208,-21.24396700321453,-21.45436443362874,-31.22282466220141,-21.26681361306744,-21.17787294307788,-21.07455201818009,-22.03354845636533,-24.292745670353483,-29.472209673206265,-59.08140009829698,-225.9307645161943,-93.36168033440147,-22.368360438544144,-29.364258904453777,-23.80145523396425,-21.912375453397793,-21.126209626734482,-21.089824908195894
-21.333372908527,-21.461357465367065,-21.33627121054336,-23.251764044618003,-30.62839206810952,-21.370041901335085,-23.09567939271721,-44.92139926833086,-57.840731236350756,-21.718530078272373,-21.376745757390683,-21.486523496396316,-21.494372744322657,-21.68408767003311,-31.10796223684342,-21.521196362681483,-21.433345940985323,-21.32751276701566,-22.259503723799604,-24.482482114472205,-29.78100460120309,-57.513555872507965,-226.59777664874275,-91.26409430236902,-22.571832442452223,-29.530057142343594,-24.056697499531865,-22.132754622805916,-21.372450764376516,-21.3371210387374
-20.488100238811498,-20.621575399025936,-20.484340486687564,-22.442872370165027,-30.158542375251816,-20.52677694921451,-22.359408401562497,-44.76602993728454,-60.296391655194086,-20.921701217313387,-20.536892286225758,-20.661516569589782,-20.668875944206174,-20.904938506060223,-31.220093601733353,-20.709996690902884,-20.59551300276271,-20.478169167375718,-21.503548175890046,-23.90358295846197,-29.307332036656327,-60.6432732380582,-232.67745948450357,-95.8041298276989,-21.875717752088867,-29.272245162026923,-23.37418885373808,-21.374259411343935,-20.530335446555352,-20.486392715326918
-20.83484392521933,-20.963872686407854,-20.83521215640343,-22.740521736508594,-30.29436064366448,-20.874544511851386,-22.64343085868375,-44.774492234025466,-59.407346988294435,-21.25351922815676,-20.879374911029444,-21.00071981040917,-21.0045091932245,-21.224715669678467,-31.206383274368925,-21.036337310552092,-20.93543945684968,-20.825434771560438,-21.81207572431249,-24.130621359531933,-29.423154914433578,-59.62497395379022,-228.90295764850708,-94.23076236144944,-22.1620334800324,-29.335459911207522,-23.629462366863713,-21.686703653501656,-20.876644674561238,-20.836836877450928
-20.343178114092336,-20.479283420494596,-20.33725275183868,-22.331208279490316,-30.11519490274599,-20.38077390489761,-22.24682454193826,-44.774735982502925,-60.60940648877407,-20.78087645717604,-20.39438874863719,-20.519409017040026,-20.529578692165778,-20.770815891721767,-31.21049775702928,-20.57567260685728,-20.45474993855339,-20.333449216281885,-21.37488299849097,-23.809779000358354,-29.28799738242507,-60.948474332842196,-234.65679849146903,-96.33181814389566,-21.75518946374889,-29.26236995852763,-23.27638590267115,-21.242933788001753,-20.385281538363248,-20.339452893087977
-20.223430120291216,-20.35835401983536,-20.21790063530791,-22.185515458834253,-30.04715015597975,-20.26311871018019,-22.129173698002504,-44.799510564485715,-61.18318966268322,-20.674474906437702,-20.273910510722438,-20.403410861521763,-20.409921872425205,-20.661713670723792,-31.282210900531915,-20.4548738931047,-20.332778497754017,-20.21206401851814,-21.26808931581308,-23.732716219594657,-29.156307661403865,-61.78389974966426,-235.03720521306815,-97.46503028847326,-21.6597904213696,-29.191921556560896,-23.15947550214696,-21.138218225226066,-20.266890637054807,-20.2203252238977
-20.569604196770808,-20.69878971356137,-20.56904567896356,-22.463566961071493,-30.16191390274391,-20.611408131766197,-22.402472275256457,-44.79414993054246,-60.36433839609458,-21.008822921236668,-20.614771800716984,-20.742392945117334,-20.743198031639995,-20.980923791570486,-31.284761979262143,-20.776798686404426,-20.669923122273225,-20.558074874121218,-21.574847366108933,-23.95586764745161,-29.22449841751341,-60.92465876575126,-230.64873515857641,-96.08263624988538,-21.945412413835957,-29.22540435329289,-23.39905594004302,-21.45062876082536,-20.613148948006533,-20.571087372888872
-20.81592321654829,-20.93575845996766,-20.823180431680743,-22.593744280129176,-30.25690184920999,-20.864018468533708,-22.562791863313738,-44.97258496212005,-60.22739233793129,-21.261103864503465,-20.853514932276816,-20.984515966859885,-20.97210605333189,-21.206522189253523,-31.38384077146822,-20.987693167210494,-20.901167765979526,-20.801604793411137,-21.78956880167573,-24.120160640041206,-29.114333215341432,-61.10509813413901,-226.7211788279704,-96.26449322654287,-22.14751368649564,-29.152591536914336,-23.51508874589586,-21.67606819348488,-20.861919655554832,-20.825036128701797
-21.190022331615125,-21.309813199421768,-21.198378329852535,-22.981405890453015,-30.405265942286142,-21.23501127929258,-22.901973681664277,-44.88706151230612,-58.872306879567894,-21.605292587262998,-21.22631232195014,-21.349251152748433,-21.341009144749705,-21.550839865283542,-31.279607374810475,-21.354499855478892,-21.275794244651216,-21.178805838905333,-22.12540966696634,-24.357321038430445,-29.40070960425077,-59.25921154131959,-223.8583216721377,-93.56398303997844,-22.455330238196467,-29.32368524584684,-23.843279335755565,-22.009699110942467,-21.233452553303646,-21.1996229655199
-21.018262428388272,-21.137577480227186,-21.026492373357655,-22.79666030629005,-30.32835206646225,-21.065100617055236,-22.742414561702894,-44.924835709028,-59.51690373979143,-21.448243827592293,-21.05471385914791,-21.181872429004116,-21.17087568223557,-21.39246031034847,-31.332462368066334,-21.184418902964737,-21.10294405180208,-21.005374189470523,-21.970665662285803,-24.245935745001297,-29.252956884449816,-60.15742969500285,-224.95758016083286,-94.87136577220991,-22.313609243224136,-29.235681642118127,-23.68712806722811,-21.856573129196274,-21.06307054781957,-21.028026310937936
