z_20230601,z_20230602,z_20230603,z_20230604,z_20230605,z_20230606,z_20230607,z_20230608,z_20230609,z_20230610,z_20230611,z_20230612,z_20230613,z_20230614,z_20230615,z_20230616,z_20230617,z_20230618,z_20230619,z_20230620,z_20230621,z_20230622,z_20230623,z_20230624,z_20230625,z_20230626,z_20230627,z_20230628,z_20230629,z_20230630,z_20250601,z_20250602,z_20250603,z_20250604,z_20250605,z_20250606,z_20250607,z_20250608,z_20250609,z_20250610,z_20250611,z_20250612,z_20250613,z_20250614,z_20250615,z_20250616,z_20250617,z_20250618,z_20250619,z_20250620,z_20250621,z_20250622,z_20250623,z_20250624,z_20250625,z_20250626,z_20250627,z_20250628,z_20250629,z_20250630
-25.616645992336515,-74.41260107611079,-14.475616625628609,-13.976983166461862,-32.91967001634702,-12.938672602455634,-13.87284686046388,-13.022085517325314,-13.58734738074267,-14.9344299925238,-17.407635541043344,-18.710542705346125,-19.34823565753842,-20.808927643109982,-27.23443183646451,-13.493851353695879,-19.256844960279224,-15.88703539085775,-12.71558659368491,-14.137094913588326,-17.17997152426601,-38.831192376341036,-56.21210911174034,-50.10959705335174,-13.533887312014588,-17.57199470878698,-47.28088892840285,-15.227597510846502,-15.666197743897609,-18.717667455650805,-15.488631292560529,-13.593901578220708,-17.188832911890103,-19.254205669883294,-14.335223942931519,-14.375075378341403,-19.51383721467877,-13.992781759680557,-21.24165365409786,-17.15088607772769,-65.07684930649071,-129.30564282079015,-17.466743413836678,-14.089223450579244,-14.909983214308385,-14.174550279975557,-14.46411053579784,-16.372363425077396,-18.67673905463751,-16.524404986023537,-25.641303211427626,-33.86220400712747,-48.844053928949926,-14.463028855221818,-13.750911600972266,-17.434336019880178,-13.898786757217668,-26.53345239348929,-18.730916964257567,-43.033560447919676
-25.843507571801325,-80.16347323029967,-13.599853863836685,-13.029476963709206,-33.63813506590459,-11.895746086919514,-12.923522814867177,-11.990962739439528,-12.619648742423749,-14.101971777803444,-16.832005893041824,-18.242981179801962,-18.91260613927833,-20.46288248113558,-27.570629944146038,-12.50642376359232,-18.77053804597208,-15.17163067786549,-11.645880614020417,-13.219343363129113,-16.501026002714173,-39.88633737830827,-59.20894603854548,-53.17980713284787,-12.559469358644407,-16.927170366699492,-49.93834855039211,-14.431710260388675,-14.855613552984405,-18.19307370123692,-14.535703402569823,-12.428659090897758,-16.398177837515767,-18.66571328121516,-13.336272429074201,-13.308974017514414,-19.014456392886938,-12.875947405148334,-20.88481473276334,-16.426336550844887,-69.33356105269819,-138.4292428432147,-16.684790034053812,-12.98610882458198,-13.896978566598316,-13.248895235701173,-13.407297168830635,-15.498799214425054,-17.942089737766032,-15.6427814038002,-25.640282032250852,-34.7072119010507,-50.69822358706875,-13.40127158404976,-12.606999230873773,-16.69733255717196,-12.77234898778637,-26.589932540153363,-18.113006064988163,-44.64612805512296
-25.76075367739216,-78.43698266523627,-13.811000361285663,-13.266563335118123,-33.468903183713465,-12.152239114594543,-13.15659926969057,-12.244253158734496,-12.857813746341767,-14.305929829243695,-16.966856491324553,-18.353415631298045,-19.01932088909226,-20.56088743681513,-27.481139259303493,-12.748939989802878,-18.903680306282318,-15.331844476564994,-11.908421669343854,-13.44462082817811,-16.67969139705837,-39.73260103421597,-58.43641372998059,-52.237613188652674,-12.796531361160454,-17.100463667080493,-49.1216349511151,-14.624546162508604,-15.0678870718369,-18.333697228178796,-14.762479195551192,-12.713866650445965,-16.587942844569675,-18.803159158306432,-13.579378153768973,-13.568316815458076,-19.136564695618564,-13.146775512846501,-20.950613535885168,-16.60505486674362,-68.15342636680946,-136.2084952373562,-16.87725209444014,-13.254118916867407,-14.140566160242864,-13.473120502354217,-13.6630100973886,-15.711770418718508,-18.14405125915559,-15.861408838465932,-25.640494085041396,-34.48068277691915,-50.31190302865217,-13.657985026306315,-12.888242288820491,-16.863370525985694,-13.047921365895666,-26.585607305567844,-18.25448547062646,-44.2606158503749
-25.92436347593685,-81.21187186964909,-13.679511149080142,-13.069754788673423,-33.48180254406417,-11.97066087588992,-12.990002326195153,-12.065959930610676,-12.685016480155655,-14.156688111735555,-16.889523203641772,-18.27356776874277,-18.92118254461289,-20.382291307367822,-27.51713434669295,-12.57639945521787,-18.702673098228505,-15.30184299352206,-11.726820299569734,-13.282230636443414,-16.47033114657855,-39.093408302782706,-59.02138571140654,-53.847600520039904,-12.641524042999286,-16.875200556399115,-50.51030069259182,-14.49331764848483,-14.83185635148828,-18.139921026387782,-14.639918029253927,-12.521862328863307,-16.465842335413885,-18.728900169716663,-13.418816185996974,-13.399621609904269,-19.02619646055208,-12.977700658652013,-20.995277300070605,-16.459996661144423,-69.51764392892474,-137.15676350251272,-16.727213844127668,-13.083178707898508,-13.997098513603895,-13.332085375666933,-13.505629707652226,-15.560630391025455,-17.86158261164901,-15.683797948917453,-25.577406520836362,-34.65095199424356,-50.039892325693025,-13.499619158797096,-12.690351195233013,-16.816591781060847,-12.86159008698471,-26.470396876672314,-18.192114530199262,-44.33891599520977
-25.777363700722702,-77.73579722562016,-14.199182259617164,-13.631906371179733,-33.01411750469316,-12.591703203934161,-13.55387559643499,-12.679665676307296,-13.259801773649158,-14.649077152672994,-17.226661730337117,-18.54532766139187,-19.169355121978523,-20.57598302298807,-27.299943504577463,-13.163814256713243,-18.983926421385604,-15.723950716864271,-12.364398880802218,-13.826880785737266,-16.866759969421054,-38.43410399542205,-57.17632063623857,-51.98009133348774,-13.220781614911147,-17.25004111867116,-48.89358774130547,-14.964396288270251,-15.308507442324157,-18.44493375682747,-15.206131989131997,-13.217058986071859,-16.932765748399376,-19.07092371976339,-14.013755669033472,-14.034286146600888,-19.316709219082494,-13.643724158927046,-21.201779185330388,-16.88706590311766,-66.930652978531,-131.56402901861114,-17.186870418472562,-13.740662200831974,-14.599590947781763,-13.883831109801955,-14.134273627818022,-16.07761679909532,-18.2873584834848,-16.20580116581644,-25.56656845447855,-34.125561227260505,-48.87328920132437,-14.132079143989126,-13.372066381424313,-17.253384654124694,-13.532917182616371,-26.42070938481738,-18.55491280120828,-43.334374676325524
-25.665455182491108,-76.5903774696363,-13.899771633401468,-13.400102483136832,-33.54633045514276,-12.273101067059939,-13.2693424028467,-12.362833198076688,-12.97402120247636,-14.408207171305943,-17.021822523775523,-18.410430846424717,-19.10293321019845,-20.699533364459782,-27.472194193575163,-12.864002756662245,-19.05090843649006,-15.358689879002224,-12.028816670803707,-13.554518563650761,-16.836445109380744,-40.20002190580388,-58.1463199957911,-51.19187589901016,-12.900895492206303,-17.269210956846692,-48.21898569339631,-14.712602910427941,-15.236899803151747,-18.473160912155826,-14.845264279026114,-12.841030209648661,-16.672473439455345,-18.86645365925,-13.68608326550203,-13.680718350470624,-19.216676554533766,-13.258561597819812,-20.918714413857078,-16.707852286796726,-67.25730206636335,-135.82924902774442,-16.988201986912006,-13.367325199049311,-14.237248422739345,-13.567958166379125,-13.769722519425775,-15.815465005124526,-18.35850498861779,-15.983078758424186,-25.68367733987283,-34.37828601967125,-50.6106721488016,-13.762597762171616,-13.019732666558475,-16.891093774212422,-13.171622269501912,-26.676679860400107,-18.297590195432242,-44.2657420937087
-25.752022068004642,-77.20068418926725,-14.254827449176645,-13.697150370685264,-32.97649113832297,-12.660088292417742,-13.616323769866915,-12.747197627193385,-13.323751931426399,-14.704324781448031,-17.26290096314203,-18.57675251624439,-19.200234771829322,-20.61035729263,-27.281886416770718,-13.228713052250471,-19.027289094743107,-15.761929663445192,-12.4340696971906,-13.887446030812379,-16.91975106841187,-38.44582811402925,-56.9760164868293,-51.68139215147815,-13.283326186720082,-17.302902221212314,-48.636026416318096,-15.016311459246538,-15.370558587929978,-18.489563124269566,-15.264685753497467,-13.292360932772326,-16.983574890005574,-19.107005340505843,-14.078104829371982,-14.102642834775938,-19.35245879879024,-13.714547879736436,-21.216538172477115,-16.93668029419308,-66.60139081171691,-131.03406579773693,-17.23950154885197,-13.811012726015084,-14.662961259703748,-13.942630243883961,-14.200988993699594,-16.135109364618373,-18.349690007740413,-16.266202387451507,-25.574922184155866,-34.071274465841526,-48.80846304383014,-14.199296308656505,-13.446922817521385,-17.294800370480537,-13.605840737851082,-26.430633876642773,-18.591968081705105,-43.25042268210479
-25.7477363783742,-77.58434878643237,-14.094554776597853,-13.543118070672202,-33.14521397321933,-12.477718532960218,-13.450992825025292,-12.566601890869645,-13.15649265463517,-14.560998053437457,-17.155108193787875,-18.49537424399167,-19.133338076202993,-20.592930362291217,-27.350383505073466,-13.05634099908311,-18.983775303472946,-15.60365004104817,-12.245183180050963,-13.728238420543244,-16.833795232086928,-38.922190579448234,-57.48178338595577,-51.8424791572302,-13.107931349463822,-17.231030051339687,-48.7765221445185,-14.875159559543842,-15.263146097299916,-18.434466383454897,-15.082657224044404,-13.08419592889509,-16.840291287662463,-18.995015830940737,-13.898340341924905,-13.910155949296572,-19.27405037394317,-13.50978575534374,-21.117094243634597,-16.816921595976567,-67.13252901701023,-132.86551942804235,-17.108265596831345,-13.610310183222863,-14.474063571479698,-13.772921304177476,-14.006708179967784,-15.982448741331694,-18.27717963989766,-16.120726967022506,-25.598423899502937,-34.213844592844175,-49.348713354608904,-14.004030481588092,-13.246209800298999,-17.13730794185094,-13.405124913235229,-26.486757117215188,-18.46870204358091,-43.60973688936958
-25.836658401844034,-79.76167653391792,-13.752337876733257,-13.175924031633624,-33.45237219922576,-12.07038987977085,-13.081050936347193,-12.16394947523805,-12.779481235003,-14.237820797986085,-16.93211564529348,-18.316536274616983,-18.970273917293127,-20.47118872795007,-27.49279815539687,-12.671071216179305,-18.805210961788653,-15.320920345802035,-11.826864481269455,-13.370914634204178,-16.577880241140427,-39.399796045147724,-58.68192501370362,-53.00284872727716,-12.727029862702343,-16.990254650341498,-49.781936323524675,-14.565484499866246,-14.954953981705398,-18.239660952685007,-14.708828651953871,-12.627930574544001,-16.53283577022124,-18.767970493858705,-13.50758903089365,-13.492974703322012,-19.084366033743567,-13.071805537377163,-20.975552919555422,-16.537539773634713,-68.79086882617582,-136.55488563328962,-16.806769728896597,-13.17808618406022,-14.077038651376624,-13.410245888641796,-13.592799288387525,-15.64299532785768,-18.00475481298848,-15.779548824812835,-25.6087776876981,-34.555646437538186,-50.13952140600804,-13.587881100532766,-12.799149746335043,-16.846362103553247,-12.964423984776971,-26.525102277958638,-18.227825492389815,-44.27492716718744
-25.754419717311272,-78.46287801679375,-13.734888135255824,-13.198564632097547,-33.58501337577465,-12.06719119008128,-13.080278935455391,-12.159845510809408,-12.780497720322959,-14.240495368084764,-16.916192052314045,-18.31762313236035,-18.99628039381298,-20.57097156248541,-27.52279037027592,-12.668807683122933,-18.899748589825045,-15.251529666567215,-11.819806420919894,-13.371266905020962,-16.653817100542717,-40.052110795290545,-58.70325565524901,-52.225928067783386,-12.713740641426773,-17.083510803330867,-49.11323784756917,-14.558583556076481,-15.0303894734887,-18.322113425371114,-14.674281316408115,-12.61580224474624,-16.521245765811706,-18.753013011313087,-13.49467714501306,-13.477146036306037,-19.105451104895295,-13.04896745936805,-20.895377093431307,-16.553594380210416,-68.3571650810133,-137.22076524948727,-16.82100507023116,-13.158598820049074,-14.050020698022362,-13.392935705642833,-13.570583031867407,-15.641824518697044,-18.132623027997525,-15.797504666072332,-25.660696705725883,-34.55245467552466,-50.659160839396705,-13.564489364906404,-12.79455036677707,-16.782229951956555,-12.953454965066506,-26.63031563087592,-18.194198271930738,-44.46847444137846
