z_20241101,z_20241102,z_20241103,z_20241104,z_20241105,z_20241106,z_20241107,z_20241108,z_20241109,z_20241110,z_20241111,z_20241112,z_20241113,z_20241114,z_20241115,z_20241116,z_20241117,z_20241118,z_20241119,z_20241120,z_20241121,z_20241123,z_20241124,z_20241125,z_20241126,z_20241127,z_20241128,z_20241129,z_20241130,z_20251101,z_20251102,z_20251103,z_20251104,z_20251105,z_20251106,z_20251107,z_20251108,z_20251109,z_20251110,z_20251111,z_20251112,z_20251113,z_20251114,z_20251115,z_20251116,z_20251117,z_20251118,z_20251119,z_20251120,z_20251121,z_20251122,z_20251123,z_20251124,z_20251125,z_20251126,z_20251127,z_20251128,z_20251129,z_20251130
-25.958703881167573,-22.356868215222235,-20.65649590049024,-22.402165773535373,-31.37236206924826,-23.320540090542327,-21.852022575221948,-97.00023361730092,-291.86171523955954,-22.74660700033766,-115.44791654936867,-171.31485903567204,-265.5659857433971,-26.011357324441907,-38.155652652112146,-21.737492707356317,-34.79794557004615,-122.58427772909215,-204.13076789925842,-27.762854564376678,-20.651519558505427,-29.605835971651036,-28.209247686666338,-30.340940166005915,-22.828439914269865,-35.01364658200226,-23.745684438993003,-29.368921582649442,-35.23151882158061,-29.456440671079555,-31.643491887772555,-25.69491787166765,-22.11214452954168,-23.99424089442241,-24.23543497973607,-25.44819126295268,-23.244811909371748,-29.02162628747346,-25.155954177828736,-23.564752864440795,-23.343433678776268,-22.838418962286493,-25.46079536195035,-24.19834906765533,-31.32033913629996,-37.614323149312895,-23.53318459903936,-24.667067864430777,-27.988160120855447,-26.13019830234484,-23.33227305444062,-22.71544114330963,-26.983210639636912,-30.63404638006166,-60.18770480693378,-38.89284708074993,-36.308835135173936,-22.639206563842826,-24.182978713612762
-25.859001224906596,-22.16696057463772,-20.373566684281162,-22.173838165494814,-31.242773945992397,-23.13896268235387,-21.64767034067066,-98.46463774344808,-289.85315662807324,-22.55116096280543,-117.25724221006597,-173.76151427728834,-267.3817553384949,-25.8987844770484,-38.33150661041054,-21.503716759363435,-34.914916470672,-122.2980618237377,-205.71421979398187,-27.705277737411752,-20.367974692268078,-29.62258966266402,-28.1312110231701,-30.337691373415307,-22.63721763744613,-34.8570623977244,-23.583918436346273,-29.23381717433154,-35.1811045444306,-29.29369226197513,-31.614949422078283,-25.471841093777464,-21.828628253301524,-23.76044520933255,-24.024192372283053,-25.25141248247463,-22.989429760198448,-28.915361883460037,-24.95337418252989,-23.328925331881166,-23.0911433021395,-22.576623409323762,-25.2563764449104,-23.96547262769036,-31.24732188913768,-37.65852862514721,-23.30326415168139,-24.46705976149307,-27.87236094382405,-25.943349643642268,-23.069485315775314,-22.440769021052944,-26.785670492474868,-30.544818275139487,-60.50838757382217,-39.07427854849547,-36.422157297811395,-22.364893253372134,-23.969364355021963
-25.851244510176763,-22.148582609839906,-20.341328845611102,-22.14698074396228,-31.228371638581706,-23.119877920241798,-21.625823013198136,-98.62909136388933,-289.69972210819964,-22.528702122155128,-117.39260311348797,-174.12618610695426,-267.5944122946884,-25.88550572683473,-38.34810279253712,-21.477447340741875,-34.92784051004189,-122.36135821120267,-205.8852079925664,-27.702687911996804,-20.33566122699412,-29.634919271095576,-28.126326890341318,-30.33925410613781,-22.615863327084234,-34.85269516617006,-23.5665184363544,-29.226723888837284,-35.17489647963573,-29.267395537302036,-31.616730567617854,-25.442942766542455,-21.79493386547595,-23.733237108128307,-24.001060552696913,-25.233223824500886,-22.96010060132657,-28.904364035301413,-24.930048721449648,-23.30249428242609,-23.06286132395589,-22.54759370190042,-25.230833437472338,-23.93790159795231,-31.240917810506765,-37.64854580256838,-23.27799244613095,-24.44528527868065,-27.867264136185078,-25.918509004938834,-23.038858348118925,-22.409392706808887,-26.76533289309379,-30.53377243301656,-60.53588760997539,-39.10237351799823,-36.4414083759997,-22.333399311830334,-23.946383462029626
-25.84146206779299,-22.15173993913131,-20.377809786377664,-22.18129354674898,-31.250671723869285,-23.132886424680414,-21.64149093562754,-98.47529062663207,-289.9940708221906,-22.55405241736561,-117.62467016870136,-173.37024381992472,-267.59506452185263,-25.902360631624898,-38.348758065779904,-21.504463599879806,-34.915862117987984,-121.97439213941665,-205.91107772455643,-27.685622044090664,-20.372271146557136,-29.568224210496226,-28.113248562693627,-30.328892312865527,-22.636645849913794,-34.80749807994704,-23.580162309892074,-29.200231908815525,-35.19471376680247,-29.339823014456744,-31.590580648372573,-25.493932523960055,-21.84027656584555,-23.766112721850142,-24.020916746662266,-25.233149547957684,-22.99343119299192,-28.911636064687777,-24.95677894922696,-23.328928871589607,-23.09156847186114,-22.575241476991305,-25.27053320018485,-23.973596221991375,-31.24119844079143,-37.74037589266855,-23.300389310988404,-24.463190801731994,-27.833191590499986,-25.964610654544373,-23.076244589595547,-22.444454884461685,-26.779899369858413,-30.552290591242297,-60.58122858768151,-39.033165008523255,-36.387200264720775,-22.36923722232065,-23.964274458622945
-25.98893747442847,-22.359424962250372,-20.578753397087752,-22.328288033938662,-31.317419362925396,-23.297550733592267,-21.82362905641094,-97.2985662278462,-290.79451258821564,-22.694702964715887,-114.82752853826821,-172.9544563384136,-265.36228233459786,-25.97686741437177,-38.14852028850659,-21.681693753126943,-34.82390751021023,-123.44812450799259,-203.8833753556279,-27.80744868518128,-20.57346995855763,-29.76780337994971,-28.244169198738277,-30.36882674471146,-22.786912548192195,-35.12099444543591,-23.721574778419306,-29.434222205575825,-35.17896264520516,-29.289371561583977,-31.70926833278685,-25.581379987789827,-22.013190646206652,-23.926143141304184,-24.197524343717966,-25.459138875066554,-23.175152886146055,-29.009237022470398,-25.10019780892297,-23.511690659070762,-23.285075718780142,-22.78306601779967,-25.374096225562262,-24.122758585962295,-31.322793551018865,-37.3954380437006,-23.490221165991397,-24.63320332509767,-28.077103563566787,-26.029627092376526,-23.252547149267723,-22.642161443127918,-26.955265522196292,-30.593681854994315,-60.06551652128415,-39.05178918583505,-36.433723368467994,-22.564074916858598,-24.150396018410163
-26.14174713412061,-22.582987669917287,-20.81767307435743,-22.509482122836637,-31.416431988437807,-23.48261335054466,-22.02639769657952,-95.98103580982509,-292.3935468655197,-22.86315922536571,-112.15502193152454,-172.06075022992735,-263.49884959431205,-26.07160740007374,-37.94999441971736,-21.88832868391845,-34.726108586840134,-124.99773438308168,-202.04563066977968,-27.926203820300117,-20.812771410408022,-29.93200406384991,-28.3786500539337,-30.413046231333375,-22.961234524445917,-35.44446546425296,-23.883646419285043,-29.671798108812546,-35.191564237044766,-29.30237869780646,-31.82089672234432,-25.715973345581077,-22.22977763814571,-24.12154321397286,-24.398629304720338,-25.704643848813642,-23.391553512304146,-29.122015866083622,-25.272065152036653,-23.724281120180216,-23.51082965951153,-23.02265615176611,-25.514672035479453,-24.3083909918763,-31.41753675304743,-37.120460260363224,-23.70750211797063,-24.825705602548386,-28.313835513840836,-26.138576931317964,-23.46605631455497,-22.876581669892612,-27.15706149082299,-30.6575386304698,-59.629171793680385,-39.02326821113938,-36.4431936474894,-22.795836673584212,-24.361386735823235
-25.995885668766654,-22.379674509711023,-20.619412929611073,-22.362713022052887,-31.33766902442448,-23.32023684896142,-21.849810872364202,-97.10298568432171,-291.0594496904691,-22.72275410179415,-114.71086529652328,-172.47332407108897,-265.14567383026724,-25.99380025750201,-38.131183531328034,-21.714445774486613,-34.80874751854513,-123.33121295921298,-203.72589996790447,-27.808097808076624,-20.614234523130897,-29.74543441034092,-28.24804022776096,-30.365687684980102,-22.81332152616591,-35.11912304069087,-23.742280640993894,-29.43862942489786,-35.18916990486397,-29.3277743938026,-31.703593500463015,-25.620032028160978,-22.05656492111716,-23.96020615148515,-24.22560265351549,-25.47845706138668,-23.211977345958722,-29.022515804093416,-25.129638968622288,-23.544215752203996,-23.320032596997425,-22.81868010741088,-25.40759122790761,-24.15784682652063,-31.33000875835209,-37.418008970908815,-23.52082338492496,-24.659638051491253,-28.077499618544508,-26.062543315375194,-23.291440675975064,-22.68143594181427,-26.979660785332396,-30.60836472882429,-60.03951076491148,-39.01307782033124,-36.406739017279335,-22.603612530743362,-24.17784744026023
-25.92965792379263,-22.271093132888566,-20.483003264218684,-22.25575874230455,-31.281018743399223,-23.22419150333538,-21.742417887139595,-97.83613903844551,-290.3041375749712,-22.627589014492756,-115.91572564402551,-173.35442416951233,-266.243116855359,-25.939908249069134,-38.23092941252513,-21.598899184271403,-34.86533396880983,-122.92002623896116,-204.69392839513944,-27.76137766298536,-20.477570453050973,-29.704700397942823,-28.192685303511976,-30.35424872450364,-22.717304971536375,-35.000688083373454,-23.657650966252255,-29.343183288255872,-35.17762048790124,-29.286317680948976,-31.66703735081248,-25.52814334173057,-21.926332700860247,-23.848427332585185,-24.11719509151858,-25.363597729938686,-23.0884495628517,-28.965504068449096,-25.031549356346172,-23.426694634678974,-23.194842115218083,-22.68721573550152,-25.317951859429762,-24.048760035991346,-31.287512310042615,-37.50883617009237,-23.403507243497312,-24.556275079519587,-27.984953467631623,-25.98713950985186,-23.166857210804626,-22.54822110558781,-26.876438946531277,-30.569746207731953,-60.25905286858854,-39.06540510038724,-36.43119711755567,-22.471118373322195,-24.066549832624226
-26.018972401021365,-22.39972179344248,-20.614430278232877,-22.353826941984757,-31.32994881659016,-23.328546831921642,-21.857240238445055,-97.08696885513888,-291.0042533096867,-22.71997156295825,-114.28528402152973,-172.943313734822,-265.0098653243449,-25.990346040572,-38.11117860231342,-21.713494957913547,-34.80789729709187,-123.8131068702798,-203.52545780406717,-27.83270925030667,-20.60918642893381,-29.81204251251328,-28.271320637366813,-30.378846382974082,-22.814148841523252,-35.19063647530745,-23.74828471987966,-29.483483694601013,-35.176772904861096,-29.276016509867617,-31.735340563114224,-25.594865381697065,-22.04290284132041,-23.95483631236474,-24.22994684084469,-25.504246436133908,-23.20743707934857,-29.028036887844728,-25.12566814347839,-23.544856297784598,-23.320121676713143,-22.820890975079045,-25.391098651748035,-24.14892043683737,-31.339851337354823,-37.32524659868169,-23.525151123052623,-24.664411232212412,-28.128087931539348,-26.03974252240737,-23.28339993046924,-22.677411531471495,-26.988958177201745,-30.60121055619801,-59.97625273616735,-39.060472765833936,-36.44620722024305,-22.598648185057964,-24.185141240243645
-25.974875332461973,-22.343331950585906,-20.570331747640058,-22.323651251569313,-31.31617013186162,-23.28700118063885,-21.812523148539302,-97.36040019226601,-290.7606732375079,-22.68859050923061,-115.08793738801693,-172.8351501694243,-265.50348507897434,-25.97416801809334,-38.164030892277594,-21.673266584313165,-34.82855334535394,-123.22994236435427,-204.03665084750943,-27.79421260579407,-20.565054583151518,-29.738448068045898,-28.230825138049873,-30.362873628084223,-22.779282504858664,-35.084213401253095,-23.71283231011971,-29.409402791874548,-35.18309487102384,-29.306805551717105,-31.694055035516946,-25.584378506866695,-22.008677534950944,-23.919823258602896,-24.187578049313597,-25.440395777003747,-23.167552861941765,-29.00275484281571,-25.094301256582334,-23.502522805747297,-23.275536935657648,-22.772210621146087,-25.37380691689984,-24.11801607393657,-31.31576766048851,-37.43922419948695,-23.47962640577018,-24.6234568448455,-28.050237926971924,-26.0330181185361,-23.24623741838425,-22.633625904859596,-26.943826018327368,-30.59363952017202,-60.108178259481825,-39.03694757707451,-36.41986542835414,-22.555958723037108,-24.139101772259906
