z_20230601,z_20230602,z_20230603,z_20230604,z_20230605,z_20230606,z_20230607,z_20230608,z_20230609,z_20230610,z_20230611,z_20230612,z_20230613,z_20230614,z_20230615,z_20230616,z_20230617,z_20230618,z_20230619,z_20230620,z_20230621,z_20230622,z_20230623,z_20230624,z_20230625,z_20230626,z_20230627,z_20230628,z_20230629,z_20230630,z_20250601,z_20250602,z_20250603,z_20250604,z_20250605,z_20250606,z_20250607,z_20250608,z_20250609,z_20250610,z_20250611,z_20250612,z_20250613,z_20250614,z_20250615,z_20250616,z_20250617,z_20250618,z_20250619,z_20250620,z_20250621,z_20250622,z_20250623,z_20250624,z_20250625,z_20250626,z_20250627,z_20250628,z_20250629,z_20250630
-26.234286095684425,-79.93054115329632,-13.631028609258221,-13.217085149322381,-31.454860337655226,-12.033160164513387,-13.003770344622852,-12.095948929572968,-12.732909017304694,-14.250525578037951,-17.137744485820065,-18.603565066151177,-18.11655794932767,-21.1307911469814,-27.37490506030399,-12.64047408273631,-19.272130065646788,-14.896551361250722,-11.77758664193855,-13.364437849940716,-16.835937220212585,-41.26683309125755,-61.469357885856546,-50.98450000370381,-12.656424122233547,-17.17611462865454,-44.18741556885981,-14.59724993442324,-15.179086515818693,-18.51110561219215,-14.526281307551383,-12.6300665077406,-16.583343791461292,-18.89580839139555,-13.562905199663874,-13.456880068309848,-18.243021485202572,-13.020903780357328,-20.914495264649297,-16.774516195570477,-65.04386461690127,-131.38414633493645,-16.66438758342023,-13.194113816850232,-13.984594796973694,-13.43044765849125,-13.62111226895856,-15.808715717336284,-18.061483791146653,-15.799367222667527,-24.709809122425504,-30.76302748921706,-50.67004534812931,-13.621824756029014,-12.766723333479426,-16.76604107181567,-12.946032853404171,-25.475126812944218,-18.014520969753917,-45.20464224398734
-26.329790413701957,-81.03015646171687,-13.515201815442646,-13.097052747067254,-31.42052356400447,-11.897245229464223,-12.879440297162063,-11.9594778160935,-12.605249859181148,-14.148114728912903,-17.09380862688257,-18.57842395998692,-18.007034974072884,-21.135789004716557,-27.412062016635637,-12.512740486899645,-19.23830102567396,-14.785414894299503,-11.63769404137934,-13.247084203912392,-16.756601582000798,-41.485109774931914,-62.164901752351476,-51.40534326639351,-12.526826791516276,-17.093299695946364,-44.23406527763797,-14.502901301631976,-15.084238610010473,-18.452984738724314,-14.39331312462703,-12.480691036012898,-16.49129829732611,-18.849205770425336,-13.440910283248188,-13.319792935299468,-18.1071475249346,-12.876084339339904,-20.887548000074418,-16.703408110827105,-65.28283373854637,-132.39824688081916,-16.547827833648206,-13.056573777688488,-13.85393802433269,-13.314832858109177,-13.490162598107013,-15.712208395166872,-17.96358472658308,-15.685292582701576,-24.650849810482327,-30.57971754849998,-50.96213334202468,-13.491976619398915,-12.616879964609675,-16.682418475222676,-12.80032917008868,-25.403403397208507,-17.926142598132778,-45.493892108118615
-26.262244452305836,-80.11049806211602,-13.59245361591033,-13.185111228599002,-31.44401619572689,-11.99241223840366,-12.967303246356613,-12.054241102083974,-12.695031037877532,-14.22281869683904,-17.127765464043684,-18.5991242244296,-18.07725080709969,-21.159555184396964,-27.38696031587959,-12.602447335458889,-19.28330625861566,-14.854154557120346,-11.734841390787091,-13.330226606348017,-16.82970313571294,-41.43823586747763,-61.729371459067764,-50.98414799985714,-12.616601024902224,-17.16978409462223,-44.08833719516471,-14.569844340821424,-15.167258945777357,-18.508376521536256,-14.483896627195861,-12.584408999348469,-16.558118055197227,-18.88773724693419,-13.526857923853825,-13.414180639612168,-18.19620057452105,-12.975350715591187,-20.896957037831367,-16.76266758450808,-65.02798818258802,-131.74127892430226,-16.6326181626926,-13.151471148159759,-13.942886834020118,-13.395876185096743,-13.580614822586238,-15.783509848112635,-18.05168968876032,-15.768138235045342,-24.69118981098103,-30.66329046150605,-50.84079419054762,-13.580804655047194,-12.720988079633386,-16.732812559307042,-12.901470966094513,-25.453596926113185,-17.983362551199836,-45.33180442123327
-26.58822199196694,-84.22270289519105,-12.961815653377755,-12.548718645694073,-31.78782132512754,-11.259723362946124,-12.305926327237907,-11.322315905423542,-12.017438567170242,-13.667728138087682,-16.80737577445195,-18.36807028478699,-17.67036132601762,-21.15752248545801,-27.695536391569917,-11.913156226026045,-19.12119989690397,-14.281249571230507,-10.977076276088827,-12.699720801230352,-16.467916595900924,-42.97125618921234,-64.72100158750006,-52.693696713689505,-11.923943491741516,-16.82789680882083,-44.920019512984744,-14.040205120949457,-14.70526112837046,-18.25790312019608,-13.786533496696212,-11.761011022427992,-16.038377884225476,-18.562383329148226,-12.839440711367477,-12.659246156654092,-17.71575526313983,-12.178194449748776,-20.655684111400877,-16.353675330042808,-67.21034031465096,-138.53494334118665,-16.084966287859537,-12.376780082237332,-13.220041694135908,-12.751649349100065,-12.841459904218057,-15.22331479172652,-17.63971858297827,-15.170857162986842,-24.628243564418675,-30.574566472076352,-52.778014511852575,-12.836899155967235,-11.908196632515667,-16.20504066007311,-12.103009318074257,-25.40972995737291,-17.527947491465866,-46.91854001010921
-26.70779064319272,-84.89664391926758,-12.871871972057866,-12.478897962173033,-31.757209021172972,-11.16571153219194,-12.225590819252135,-11.224822184086,-11.929579007484667,-13.613727243819078,-16.81207095778151,-18.382996553062604,-17.56671197505076,-21.276276872058574,-27.728327035151434,-11.826672070187298,-19.176121424217193,-14.181598934726255,-10.877546897692582,-12.623358107703787,-16.469537919012925,-43.47211110109344,-65.57926484105926,-52.734626761220866,-11.83105521273457,-16.82539285450423,-44.61366119966628,-13.985900029534243,-14.696605783823632,-18.260862580178973,-13.686550850746533,-11.654933849293185,-15.992492101083048,-18.580122936039253,-12.76173065504867,-12.561157829390078,-17.575247755825785,-12.072235456282568,-20.6308962222853,-16.351043733038665,-66.99047709135326,-139.6409639537438,-16.009889441346164,-12.280630364753431,-13.126603755344187,-12.675854505357107,-12.751015815988028,-15.17854237154761,-17.633045457982547,-15.099878488858213,-24.575834090881493,-30.20267364598329,-53.31307086065296,-12.745254927800646,-11.80052590054867,-16.137432022692337,-11.99939335563095,-25.337630112640596,-17.454857427337778,-47.30893331618874
-26.306167232735035,-80.74018657979808,-13.493399287460896,-13.084000061686224,-31.494724811065733,-11.877175577327616,-12.862733649051014,-11.939294705154555,-12.588273004423462,-14.134019271304206,-17.07388566774086,-18.559078186209465,-18.01366419438395,-21.15040477643602,-27.431097125266795,-12.49378231112864,-19.251536049450714,-14.764660191975674,-11.615881956054501,-13.230433228839765,-16.76852500706199,-41.652615915612735,-62.16470244963506,-51.25584464393724,-12.507688246429822,-17.111811862128437,-44.23158391828973,-14.485199189825648,-15.090714160120367,-18.464905659592176,-14.374299000377711,-12.455129969089299,-16.474411911347488,-18.83212410781879,-13.418095635221897,-13.295483320476439,-18.12241202796753,-12.85025635029086,-20.85705012908749,-16.69454141768962,-65.38197860076355,-132.75942864213775,-16.545397310229646,-13.02957934546869,-13.829089320120499,-13.294055131035472,-13.464134216241069,-15.693353409142185,-17.982454910831166,-15.673079938335349,-24.679483632675904,-30.661058203118905,-51.11761678920396,-13.46367014574939,-12.593447504393728,-16.649192550818483,-12.776056898354547,-25.445518490097975,-17.911111080108228,-45.56236496348231
-26.27727126761578,-79.73660963550041,-13.555930920967615,-13.177166342925744,-31.468231299624556,-11.966232330805951,-12.947378194331458,-12.025035153578571,-12.672314632807247,-14.215352585850995,-17.13039409225044,-18.603701413026926,-18.04050008632638,-21.265270091604997,-27.40209363124074,-12.578881203526146,-19.35829891880449,-14.802669136088822,-11.70469858510466,-13.311567925314435,-16.884461565511714,-41.88474268015579,-62.05694249599368,-50.5943773275518,-12.588522314905818,-17.228117146553533,-43.716403844893065,-14.554761787126921,-15.214407594952693,-18.553140129267472,-14.450381770635483,-12.55159159086922,-16.549659363670653,-18.902893972000896,-13.504538942539448,-13.381418413739803,-18.156025768934274,-12.938975644204586,-20.854893329668993,-16.785431030396893,-64.77865945171719,-132.23898052311498,-16.626445832752808,-13.118703453314232,-13.908396883157438,-13.37392557246531,-13.550262570465108,-15.778314830198505,-18.112459950168343,-15.75788691163736,-24.685362384995134,-30.491087604407628,-51.237705361432546,-13.546598034860336,-12.688629875194287,-16.684519998868403,-12.869572759326179,-25.45201875581597,-17.9502508411388,-45.54778435001701
-26.645552614829278,-83.91336422354553,-13.24923079237912,-12.83692151040001,-31.294580290477448,-11.589901700400372,-12.604312159975438,-11.64809645435242,-12.31548771028092,-13.934713943006367,-17.050499419029784,-18.580229420532945,-17.718230045352065,-21.263819808324897,-27.499302099485462,-12.22648092235018,-19.22956087067169,-14.51250262328291,-11.319633836852406,-12.98589890412235,-16.61185050127486,-42.239379055509694,-64.31449173541309,-52.34480978078259,-12.228050891414236,-16.93121495339166,-43.97083594378703,-14.307046419346369,-14.91113489956548,-18.348098032640493,-14.07869485522618,-12.142250246753232,-16.305780063368907,-18.815039847856383,-13.17616160481225,-13.010165111613174,-17.715775844662254,-12.545207571648913,-20.847970274791656,-16.590883898139865,-65.28904550392474,-135.09655991939655,-16.274441231689053,-12.750646839167787,-13.561483504110708,-13.059362869099008,-13.199388798286954,-15.522101082266271,-17.78215392755285,-15.430918151589518,-24.47970099982272,-29.810352907027784,-51.90976995520607,-13.205262608504645,-12.274807985016023,-16.505652599819943,-12.469648002565446,-25.179712140372164,-17.71070036413022,-46.34452792292714
-26.230772572441655,-78.77530224742719,-13.325267792757767,-12.998294616654462,-32.11280718995579,-11.727523188763936,-12.744315027795288,-11.784241539649521,-12.462491052351684,-14.048840813706285,-16.97218418021423,-18.46668589638528,-18.023091516450815,-21.406388161369353,-27.581974213910954,-12.354119372976365,-19.441960527252405,-14.596873827785952,-11.450740649563686,-13.112716365987197,-16.93882959014772,-43.177262814410895,-62.87450604339165,-50.04804205285254,-12.362280673803046,-17.317222857599532,-43.786899422843646,-14.36490102724352,-15.20491895824227,-18.593456991117584,-14.223593130211645,-12.26611725584513,-16.373680429293053,-18.786551879954732,-13.258575411185353,-13.115769489070328,-18.163241993154195,-12.654729599551432,-20.63452375849489,-16.683697824154173,-65.61527915847991,-135.8443129690967,-16.545947423499065,-12.83355425912414,-13.646594035653822,-13.15379377152937,-13.282784144138386,-15.584867290844445,-18.206959742161974,-15.596107295046544,-24.82405700931111,-30.90600549857197,-52.687723419352096,-13.258800099258764,-12.416466520846878,-16.39688328337916,-12.595588026059707,-25.693418281199577,-17.780237888353497,-46.30935379677777
-26.23169413892957,-79.97296361111627,-13.158854220794689,-12.796573285375876,-32.347576077033935,-11.51452244563111,-12.5479408929271,-11.577594256393251,-12.265969924367965,-13.864344312918734,-16.823662509264793,-18.34592189793319,-17.996930013552934,-21.231669066867035,-27.687484002761817,-12.151748335324701,-19.278557742339324,-14.47216198475685,-11.23437086274388,-12.922262203877821,-16.747643414369985,-43.184427222012346,-63.109487731793635,-50.93732230853219,-12.164851206428112,-17.14146055204281,-44.711038103309505,-14.195193808893293,-14.989905157923808,-18.46252283382118,-14.033008231487921,-12.02637861261175,-16.19427332927256,-18.61709827203092,-13.044547887776236,-12.898586256180266,-18.136259101886886,-12.428136604176778,-20.56913296984093,-16.49292053023144,-66.92849879430135,-137.79512358811024,-16.38543906412335,-12.60440321888939,-13.440630409315292,-12.955149829889812,-13.059744618058668,-15.382908836541667,-18.014479190756006,-15.410708108438357,-24.89236468367786,-31.42468817514465,-52.85948547290568,-13.038509922521408,-12.184855489209827,-16.2552002903112,-12.364442766071251,-25.793422781571184,-17.66995792312251,-46.51552451871342
