station_id,xi,sigma
Annandale (WTP),0.17926889709355823,18.653012422643855
Annandale (WTP),0.16429326801973426,19.5219882825369
Annandale (WTP),0.1280820759007904,22.754413498012518
Annandale (WTP),0.1408192354084592,23.351312995272096
Annandale (WTP),0.12683103570127713,22.673368195668118
Annandale (WTP),0.05097063906530698,22.85345962778348
Annandale (WTP),0.1332987949124526,21.617393447549958
Annandale (WTP),0.002895099606996492,23.72539651064784
Annandale (WTP),0.15618281115176214,18.95830842062375
Annandale (WTP),0.12573320636840296,22.18177109587834
Annandale (WTP),0.16369765901874173,21.185762616867237
Annandale (WTP),0.01831858080076943,23.352972448405914
Annandale (WTP),0.06332058239827748,24.95136407366885
Annandale (WTP),0.052034902700256375,22.634857269011086
Annandale (WTP),0.11335818113431745,20.416173243546314
Annandale (WTP),0.06911916652982322,22.36217981521304
Annandale (WTP),0.07800464352437214,22.409536255660527
Annandale (WTP),0.09641958076516179,20.535209772566937
Annandale (WTP),0.14109892566203228,19.65740192132382
Annandale (WTP),0.016350848392961925,23.800755428679455
Annandale (WTP),0.14384055100132648,22.593675490032012
Annandale (WTP),0.18022569894427404,20.316659322035388
Annandale (WTP),0.10325692595725855,21.425813057135198
Annandale (WTP),0.1778587874102414,21.154867536307364
Annandale (WTP),0.04886226395297561,21.806144953597844
Annandale (WTP),0.1062388728340247,22.17483757041144
Annandale (WTP),0.07225481722730152,24.701263766449305
Annandale (WTP),0.07445553706757249,20.858686735913302
Annandale (WTP),0.010402101478902828,23.11749628035095
Annandale (WTP),0.20360086557555018,19.982243233522023
Annandale (WTP),0.0628282309678119,24.717380879544926
Annandale (WTP),0.14972534287118788,20.34121953420167
Annandale (WTP),0.03232482246215697,22.6279977322179
Annandale (WTP),0.15788628247659905,19.59243706125129
Annandale (WTP),0.11559139732249554,19.13319551862472
Annandale (WTP),0.043528579924424424,23.669793514101656
Annandale (WTP),-0.07049920026945611,26.605817312532277
Annandale (WTP),0.08627237319781256,21.506296949456058
Annandale (WTP),0.2031411446532505,21.509742550209786
Annandale (WTP),0.09703364505529424,22.721674418491183
Annandale (WTP),0.1468886086172757,19.934984994896944
Annandale (WTP),0.13198462323240506,22.40354785406366
Annandale (WTP),0.003714546955585961,23.736703628038285
Annandale (WTP),0.06703187367733171,23.900944235190543
Annandale (WTP),0.016492237522038943,22.271833521675077
Annandale (WTP),0.01892657328511308,22.14540700736716
Annandale (WTP),0.14135385035608428,20.810365289458026
Annandale (WTP),0.17617995683735885,19.918519723076844
Annandale (WTP),-0.07678731893742172,24.548192950452258
Annandale (WTP),0.06057753987869838,22.800429787241363
Annandale (WTP),0.04415259257967634,20.59214571093164
Annandale (WTP),0.0939138616768895,22.92333777898107
Annandale (WTP),0.16669765304504736,19.46250124119901
Annandale (WTP),0.16229395010918737,21.598425545200982
Annandale (WTP),0.05441902840194616,20.97015844065365
Annandale (WTP),0.09483378666622191,19.94241156617022
Annandale (WTP),0.14236479493459817,20.61970039390061
Annandale (WTP),0.18633170134835458,20.034571245922642
Annandale (WTP),0.024863024305899796,22.069277437997954
Annandale (WTP),0.1513215198029783,20.23370953924597
Annandale (WTP),-0.05870848021346729,24.331547287526334
Annandale (WTP),0.17114513337695708,21.724091322624652
Annandale (WTP),0.18932722562484974,20.076965334315528
Annandale (WTP),0.0870895050691123,19.983338584154236
Annandale (WTP),0.057195079732261955,21.847196274833816
Annandale (WTP),0.061557949278524635,23.423204157586003
Annandale (WTP),-0.004351368830001184,26.159517324970917
Annandale (WTP),0.1803121752268232,20.970702371307915
Annandale (WTP),0.14684070152682524,21.230018685444207
Annandale (WTP),0.08379875104833391,21.128605310908405
Annandale (WTP),0.1004636581893159,21.20917214359398
Annandale (WTP),0.06666235277508831,22.666772613317857
Annandale (WTP),0.027405640391703096,22.243050350941473
Annandale (WTP),0.23961869048781084,19.563865035590204
Annandale (WTP),0.15761488401412216,18.980581113287514
Annandale (WTP),0.08747865420348343,21.42082018442641
Annandale (WTP),0.269476116824261,20.670934598612526
Annandale (WTP),0.14152753420083847,22.35625837539087
Annandale (WTP),0.13419845807605107,21.4473120728276
Annandale (WTP),0.160200410811712,18.697235424002983
Annandale (WTP),0.14169056603239502,19.228270261166557
Annandale (WTP),0.11403933187064445,19.586061684846726
Annandale (WTP),0.06778036008857885,20.74204735950862
Annandale (WTP),0.17804539878901493,19.493149421163736
Annandale (WTP),0.15390211472426601,20.942248938117217
