,station,dist,TR_2_mean,TR_2_std,TR_5_mean,TR_5_std,TR_10_mean,TR_10_std,TR_25_mean,TR_25_std,TR_50_mean,TR_50_std,TR_75_mean,TR_75_std,TR_100_mean,TR_100_std
34,Mt.Plaisir (WTP),GEV,98.43336778518332,12.221724169938437,139.94433218589427,17.252455289261693,171.00611622618726,25.295958013104997,216.1104847150956,46.298705342958016,255.29922209529704,73.32400047607821,280.9830967792101,95.22485260567211,300.70705227165075,114.23062176447482
35,Mt.Plaisir (WTP),GPD,127.75192614854677,13.072319318774602,164.46579305348018,23.08886232377903,196.98499384349472,34.11746138428839,247.56234208539584,54.83366483725342,292.67338992721636,76.60315837370591,322.2574795250639,92.42504766944532,344.8425245123116,105.28156544065197
36,Munich (WTP),GEV,59.92843695702568,6.569347214700865,87.95007538301023,12.684586838961904,112.14697374118477,20.969929896578847,152.1123159390295,41.69570611928888,191.26771703570276,69.88961384300987,219.03358033628848,94.12023107529548,241.42794280749874,116.02494324105503
37,Munich (WTP),GPD,88.20470111651807,8.330558507943291,110.76905385277685,14.68811964491291,129.99178236988948,21.691139382019227,158.7872051573964,34.69940132459234,183.57953495389842,48.14168476707876,199.46873058759644,57.77954562657755,211.4285803714265,65.53829442260182
38,Peggy's Whim (WTP),GEV,96.80505973652754,17.25823005332633,165.86040600126572,29.725364702839936,228.12083862148523,46.14443524195942,335.2808647789954,91.94843605987178,444.54738410714106,160.12359911485103,524.1762372178944,221.53356602836567,589.5406590593603,278.5449919963526
39,Peggy's Whim (WTP),GPD,149.00125985373646,18.239225946286457,209.40990319315003,35.70653245225116,268.70123238287476,57.143793020769955,371.18347922298994,102.15716804668997,472.6324497360825,154.77885443405768,544.0852242724054,195.8814475086162,601.1770932928655,230.85024268147794
40,Petit Etang (WTP),GEV,97.26902087933563,9.758708192432529,131.31403193601275,13.892181979560139,155.93206983640025,20.65960479996087,190.36079655455885,36.57319620395732,219.0661918680201,55.51823005993583,237.313662990694,70.17842404114025,251.0426684351911,82.53120492380059
41,Petit Etang (WTP),GPD,132.5526011929639,13.24702928285431,169.15878137797543,25.052631013936008,200.3739346121108,38.69740254379201,247.36571107618872,65.07344227960564,288.1752694600468,93.33823677453753,314.54397686559963,114.11190491226971,334.5150249954567,131.1062889936555
42,Plaisance (WTP),GEV,56.84001937499898,6.645195204589967,84.98083304650746,13.135762117040674,109.63074797493039,21.75679837194818,150.92682792019994,43.481173200437354,191.99197156377468,73.72181515754329,221.43664097142627,100.2401506020783,245.36731780649507,124.56001884400717
43,Plaisance (WTP),GPD,91.05109093411231,9.661023591748023,118.80978671811164,18.424351352879082,144.1317624757855,28.78731436618638,184.83891942662981,49.607527382236526,222.4553518467147,72.93143548901111,247.77078536177308,90.65087029873047,267.4326205152494,105.47312275827431
