station,X_m,Y_m,X_km,Y_km,Elevation_150m,TR,TR_mean,TR_std,TR_z,TR_std_z,Elev_z,Elev_norm
Mt Horne (WTP),647736.8847822134,1342690.5084765148,647.7368847822133,1342.6905084765149,145.5919,25,247.62888950532135,60.97709901759742,0.48697896731311036,0.5876198213111492,-0.8893010085515858,-0.8957798188835894
Mt Horne (WTP),647736.8847822134,1342690.5084765148,647.7368847822133,1342.6905084765149,145.5919,50,304.85217818385877,90.55774692447044,0.5079654722693469,0.5642627016763094,-0.8893010085515858,-0.8957798188835894
Mt Horne (WTP),647736.8847822134,1342690.5084765148,647.7368847822133,1342.6905084765149,145.5919,75,343.94827451896606,113.18396412451749,0.5112753860132988,0.5475426444151152,-0.8893010085515858,-0.8957798188835894
Mt Horne (WTP),647736.8847822134,1342690.5084765148,647.7368847822133,1342.6905084765149,145.5919,100,374.59062261674154,132.17405117441706,0.5103062412625189,0.5345314392930886,-0.8893010085515858,-0.8957798188835894
Mt Reuil (WTP),647205.7579199586,1347899.0524800932,647.2057579199586,1347.8990524800931,153.2649,5,155.28536314095638,22.22982774023845,0.4796363648411082,0.618509265293725,-0.8281209693693906,-0.7647096737863871
Mt Reuil (WTP),647205.7579199586,1347899.0524800932,647.2057579199586,1347.8990524800931,153.2649,10,188.7275836547074,35.59130785049811,0.4566768971159617,0.6622124210073138,-0.8281209693693906,-0.7647096737863871
Mt Reuil (WTP),647205.7579199586,1347899.0524800932,647.2057579199586,1347.8990524800931,153.2649,25,241.50324016063854,62.922783686545436,0.39673161718701055,0.6700630875661359,-0.8281209693693906,-0.7647096737863871
Mt Reuil (WTP),647205.7579199586,1347899.0524800932,647.2057579199586,1347.8990524800931,153.2649,50,289.46264564090177,93.98950197439184,0.3409080266486815,0.6534778934378307,-0.8281209693693906,-0.7647096737863871
Mt Reuil (WTP),647205.7579199586,1347899.0524800932,647.2057579199586,1347.8990524800931,153.2649,75,321.40268262246326,117.84699471570892,0.3072007291420752,0.6393520802886348,-0.8281209693693906,-0.7647096737863871
Mt Reuil (WTP),647205.7579199586,1347899.0524800932,647.2057579199586,1347.8990524800931,153.2649,100,346.05580957484204,137.96467204310017,0.2834734304943321,0.6284163191834234,-0.8281209693693906,-0.7647096737863871
