LE,gammaE,nugget
16.865366839602284,0.6669924447138977,0.28085090276624547
16.555082920807603,0.6778757854533131,0.2720700360280896
19.439483958010353,0.6353218115540857,0.2855806487709199
14.659833447496702,0.6332608312857878,0.23893604912400943
21.990180712253178,0.6468968176296993,0.30160324725769744
22.536794946046854,0.6671748591394852,0.31715171965463446
21.468531322193396,0.6609657209041652,0.30732549769423273
21.743520490703954,0.6668835683618423,0.3034845723916205
17.95117731657666,0.6993465238536034,0.3014433220763788
16.189103430334647,0.7170669754750734,0.28699730701939197
16.381716556282864,0.7128873280685337,0.2864088962333186
16.339832495301884,0.7078814481745567,0.2883893572580691
16.689832478497017,0.5576443587678656,0.21929927085808576
15.053228458050317,0.5758713472150175,0.2230363681856908
19.20537704167463,0.557963459176144,0.2520923571265676
17.671940730928643,0.5591656247022084,0.22757720751852986
17.052624511261424,0.5503932687180315,0.23624598647464634
16.128247549900355,0.5761487496530445,0.21841835925994274
16.12441474150319,0.5622097121635555,0.2262953262539372
16.5426621544805,0.5743576949024682,0.2304877079645862
14.93754168794834,0.5875775990147779,0.22717263389783202
17.662135898583266,0.6112203234545839,0.2546161699071138
17.181682744706237,0.6007384309373063,0.2534991848658314
17.378462334414007,0.6064931393259027,0.24840250295968727
15.65097693608853,0.6495358596377381,0.25135702859106784
15.62173315489345,0.631625450109656,0.2636100948481816
16.826763858946588,0.6187423051777914,0.25388954780102974
14.934415433973205,0.6308628864830657,0.2372931706729562
16.24756391863862,0.6136051007068434,0.25536937066575977
15.69724152914496,0.5590623003139961,0.21199062903538582
14.906783628624027,0.5989099771132879,0.23180750318308949
16.151551938125376,0.6142950324879316,0.2472041390693214
18.91769759713695,0.6502821041229462,0.2838949332565254
18.567120731348123,0.6320394666408522,0.2730312447625397
19.38824124290537,0.603074894666147,0.26103379464179116
17.324712782161214,0.6435742314235294,0.271548697335684
18.162973367590855,0.6330461067024854,0.2704202570686523
15.668765522293416,0.584705816371983,0.23394518122059807
18.718061266636443,0.6507596386562229,0.2755152287948477
17.043946351272314,0.6105439552988009,0.25953003226181104
16.946897444935765,0.620698554614808,0.25116653578880993
17.086306908517766,0.6108589341109697,0.26043065011455874
17.4322542872379,0.636408425036859,0.26138361618622713
16.65228297402368,0.6092379428185541,0.2560253745047496
18.078143897764047,0.5971726793101424,0.2483236178957765
17.7308566844355,0.5906455098699269,0.24561580684121728
16.39276936417069,0.6342109760303268,0.25351132940278864
17.030549566230885,0.6183987455335533,0.2537136516071331
15.40798369557568,0.6428633119319849,0.25391551744905705
16.677719625670022,0.6038544648554028,0.2521884579327266
17.963094386807505,0.6685877219654476,0.286694833274613
18.404145156453637,0.6759757745913314,0.27642486974133834
17.700803352670036,0.6589410892663605,0.2782375124190323
17.277826281405584,0.6491867017741951,0.2778288907266408
17.235404187883233,0.6599458244521784,0.2667916648167281
16.740626971143996,0.6963041169883973,0.28669631506896776
16.491942010930536,0.7037262390722685,0.28698768326906093
16.655240314074554,0.6912649157456413,0.28520085867688627
17.987873137217562,0.6626576425046076,0.28464344926016083
17.614417106260753,0.6401261350198894,0.2648571511340731
17.98710420557718,0.6096382425727851,0.26204311284583737
18.647746596292833,0.6962095973926186,0.295166257879523
18.352042380819075,0.6850134431003876,0.2924375587541814
17.889648855594153,0.6628206009786266,0.2899783228867279
17.600755653340045,0.6928245277334313,0.2921189464343209
17.252004767053336,0.5899907139293357,0.24535830255533217
15.637914245041431,0.5944331942520615,0.23381371846353938
16.711909701744254,0.6036365973775017,0.254810417823821
15.596280668030388,0.6246340633427471,0.24269753554761497
19.692939066251093,0.6399207091565994,0.28500965906097747
19.431547745088352,0.626350730047054,0.2876231997144876
19.26833443897446,0.6417597061498511,0.2916026648667294
19.57652385264478,0.6454483623466089,0.30115467541784485
18.349456866848378,0.6348010577352229,0.27300564054586646
18.375164486768714,0.5939808512000125,0.25662796294678547
15.21410224757134,0.6293518236988024,0.24003299614988768
14.784671181517778,0.6181839917251385,0.24386738635706032
14.916308168196249,0.5862693563632776,0.2166934872221519
14.618565701955694,0.5685883706905006,0.22358835481376094
14.60088470963244,0.5759439327782345,0.22076861121507732
15.315361957827346,0.5783859273148433,0.21333170569725557
17.041109814532224,0.6030944048890755,0.2553356831182614
16.385460860441025,0.5859386582634475,0.2435576057732552
14.037041842758823,0.5600242427168912,0.2131046194941224
14.965446726813767,0.5731810980038146,0.21882014974626804
15.103230949044194,0.5789048153601681,0.21427390671775137
16.56701506029595,0.6344499284571915,0.2554962453675267
14.879634513242346,0.6241697874693019,0.24743324432523434
15.743792013090543,0.6167528095008699,0.24238253764974024
17.611468491584986,0.6288760109364132,0.2644067374234237
16.76262945666576,0.6515814641185527,0.2672912671157605
18.08392845469134,0.5793166767960519,0.25589906294948933
16.791786008408078,0.6465510685235829,0.27618113610333384
17.125803103584868,0.7945267695808573,0.3174805437139751
16.702344670260132,0.791048078411957,0.32994478498416757
21.096020573035048,0.6205527816039392,0.2896544923408194
20.34685243806217,0.6482041460719956,0.2883062957646401
18.15978265753834,0.6564578568480756,0.2727606254711716
17.153037107513594,0.6523939420832912,0.27882494368802946
17.015857493338395,0.7003899784796943,0.2949169235857412
16.155452124135746,0.6748276357603916,0.28120732601469767
15.359286925184454,0.6568321966721652,0.25949857377516083
17.819331436667245,0.6532599341598136,0.2769146030444441
17.888649854522093,0.6389103166141015,0.2710273683194231
14.235420181567461,0.5874678133441156,0.21562904633113694
14.825191129942118,0.5762781463959215,0.2249686300991006
15.51183720176883,0.602408252338611,0.23120657579453086
15.41830253737517,0.6257311762944374,0.2432592807449816
16.262749839379158,0.6234925142722888,0.25171637777707845
16.362621155607,0.6075420552046241,0.2447398369947592
15.31565080693056,0.595397580045121,0.2312730908617631
15.04975401664063,0.5842504837114338,0.2391562544719198
14.700135797354793,0.5989744145075236,0.22609270696863565
14.610621868655713,0.6072226849257426,0.22793814028302292
14.07903085611676,0.6384094379869005,0.2423664514644679
15.891006182340398,0.6499385386191869,0.25587612380118047
18.960389170675892,0.6380189479638907,0.2747879596893967
18.72938589794807,0.6409485899999908,0.28248754907171675
18.192661473234462,0.6462794513909341,0.2798593024966365
15.664561395884064,0.6073162974002513,0.2499253679572276
15.942894300312442,0.6122049202428022,0.22762918604830207
15.742804218587692,0.5962937427392506,0.23790656720514006
16.25024110851903,0.620791460145848,0.24511576206374802
14.937511753805495,0.6555174596663006,0.2579494217867588
15.592705057171115,0.6210669695010489,0.24336408476614182
14.95518462202298,0.5982524792825769,0.23299889249087458
15.46607996505883,0.5404175504888183,0.21460934324949463
17.505678168351867,0.5455549336966733,0.22376976297621778
15.589264441771535,0.5902919323773766,0.227697275951516
14.768807072686876,0.5936257933366986,0.23035462858020467
15.465576348906353,0.5983440935187215,0.2309473303851279
15.364965562851676,0.5984726050087477,0.2362977760632635
16.230383115548605,0.6221481243564075,0.24456443060491384
15.940552195430126,0.6086885790012467,0.2517033878033868
15.34525186031236,0.6589400947508383,0.26572432398362966
16.728301769987844,0.5988303215986055,0.23627995900173765
15.997605181515091,0.5896969139803674,0.25035321695604595
16.406276347596275,0.6335484178524824,0.24489322709707073
16.01239881191524,0.6418616443394441,0.2571431925467726
16.11087923838943,0.6743311475878202,0.2666620786263126
19.420956440031173,0.6210681207414906,0.28247877208051136
19.373889454125212,0.6278310618521368,0.27875938473183126
19.167576154302964,0.6303946929933846,0.28232992446952426
18.326947980735444,0.7571823743517042,0.3247100794097156
18.59196945796297,0.7526452020660056,0.32477757007838565
16.65897453852598,0.8020022731973249,0.32972641523750384
17.258731288654612,0.8229630160400575,0.3320415173527213
17.088678438199643,0.7283174660279379,0.2991709189099542
18.03393949587524,0.6494242367234356,0.2729645550867148
18.2666916818334,0.649313003833679,0.28369663901791303
18.231510184737257,0.6229043035420195,0.26842529919179675
17.620505764864262,0.6220091340078451,0.2735897808759676
17.980836166826975,0.6279644861616688,0.26877787522235785
16.30031238732438,0.6164430267026747,0.25014006193588834
15.928347680848551,0.6249029496641982,0.24982757469291947
16.71052563605202,0.657285847683003,0.27103159665838855
17.12977098609974,0.6147728505434734,0.2525125019708475
16.828866413951822,0.6040145402984001,0.25568747460961055
13.97341207486982,0.5722940634454379,0.19818458390496396
16.371930210818597,0.6162456411985565,0.24529756353656168
15.922079027300232,0.6365672751985703,0.2528232858803733
15.922079027300232,0.6365672751985703,0.2528232858803733
17.38175850603352,0.6355208598945692,0.26988010476968405
17.66995656008523,0.6382475494793612,0.2586537841213275
16.564620078352508,0.6642480063893428,0.2747251669391747
15.114574287227393,0.6626824483526422,0.2566394637772733
15.667914273260493,0.6573620420603312,0.26407374136470174
15.613449612020588,0.6915503792423914,0.26480640758115914
15.230111576487568,0.685171857233975,0.2679687684683715
16.576201265755945,0.7124180208871251,0.2925856986450761
18.407779676007376,0.7152456519829601,0.3023520596376577
18.399312398413088,0.7002864092977963,0.3023949492970474
17.665375748171417,0.6522125736225229,0.2740301484032543
18.24307476864761,0.6342007464233749,0.2714401156648941
16.58641192529262,0.6332320088534152,0.261090872294335
16.828477704572588,0.6337447650739094,0.2731109646525034
17.247956677089586,0.6386889466669614,0.2602869227039914
17.08262613491302,0.638527306944576,0.25866930220735407
16.198909525422746,0.6329499602055796,0.263476021160438
15.875338039912503,0.5989040825399364,0.24532482061751903
16.538850829014386,0.6291063876920693,0.2644947858692876
16.563488352781672,0.6295966015396975,0.2625258522697391
15.356389910901168,0.6155751513382067,0.2361245841350676
15.356389910901168,0.6155751513382067,0.2361245841350676
17.583136721397505,0.6100805430312835,0.2605878135410628
16.566429935940807,0.6146193716124012,0.2505991715379229
16.033712396642677,0.653416340728513,0.266172943573976
15.454092030849718,0.6754438113444087,0.26463935373365177
16.60928700371231,0.670576992469006,0.26862156031818263
16.403743274316916,0.6720974515413438,0.2724970893151007
16.652623115599177,0.6646889425696692,0.2760649710938258
16.496049646717314,0.6615300948033372,0.27831466028685825
16.519275311255,0.6631509200471776,0.28491235704453227
16.89236016385155,0.6916987761863165,0.283953961218269
17.524823333678903,0.6651277667172408,0.28652177612603225
17.270007736577003,0.6436967815641507,0.26677022524839894
17.583400459686523,0.6359223876121305,0.26449499030135715
17.260505788717104,0.6379136498137461,0.2714370743205094
17.20795934961864,0.6395594287360751,0.2654713759085011
15.893263546946443,0.6535500662814266,0.2608877833011294
14.941847750299411,0.6656880648632155,0.2609502065242851
17.359896486126043,0.6510572737023228,0.2796597790363261
17.847686559857717,0.645223631428463,0.2725037376204358
18.189164304924315,0.6540597765122983,0.28328489781248406
15.672910501572943,0.6694126659751441,0.2723752861063813
15.517369777435261,0.6573218589416856,0.2716889315361528
15.586879599200502,0.683912894995879,0.2606487521126451
15.661773776357132,0.6865647873806253,0.27343004569709284
17.701491004421147,0.5778647254441698,0.24303882499197046
13.815732450255831,0.6185882004592557,0.22796413765759038
18.356106736840793,0.5952716557748992,0.2563387587679107
17.21538632058388,0.6052697870593533,0.252247946495738
18.573033964018315,0.6092813689556515,0.2599900870968032
17.930467745574397,0.6193785378789186,0.2664259991134792
16.425058042249322,0.6443124631595144,0.2649013443389715
16.848876030928626,0.6535952568910526,0.26830180665358583
15.449638116136324,0.6040439799734896,0.23806231730450114
16.628348105190415,0.6187335670188888,0.2536004146587771
16.813606320136813,0.6123807477289535,0.24690434180763773
16.521802456044227,0.5958171596038236,0.24941954103486946
16.97023961114009,0.6294592096067909,0.2532848614262156
15.204642619736862,0.5834486007999723,0.23068238228352267
14.990642223992998,0.592550997101557,0.23677469362152842
16.710380549378783,0.5885084411795299,0.24207059751712523
16.59022084071648,0.6345826606473066,0.2555709763004788
16.989946306331337,0.614783202523654,0.26376987734472024
16.097642422325304,0.5968970619440117,0.2464734323863125
16.404580591578092,0.5994216742167376,0.235756473758881
17.859797570322584,0.5945897756690589,0.2414453299157915
16.8780593235704,0.5980437046568321,0.2583545837216072
16.81249693947081,0.6223499488847761,0.24510179483085753
17.234665417607765,0.611120327147082,0.26492926227291
16.001877675811265,0.6255066173647991,0.24114182471772475
15.047259468851909,0.6126325388247298,0.24645005127181882
13.575512754109246,0.6674851590237609,0.2552804485790294
13.971546163011876,0.6719595215533994,0.2451789836480748
14.621747321101775,0.6284297464511986,0.23859411316063062
19.731701126781658,0.6413171510963295,0.2873426609356831
18.511762132562893,0.6317442961119106,0.2747178927439013
16.7271606947834,0.6523006153596168,0.26790530509398375
18.035187752193483,0.6473462653221205,0.2802893522635873
18.851259300819372,0.6251060367373698,0.2625808330066879
19.723151682544607,0.5994613308146644,0.264100102499576
19.791718919690155,0.5852700302733789,0.2580520261426514
20.448365442776126,0.6008551729663988,0.26516545720057433
17.848224874538175,0.6806235448177509,0.30043816148844443
18.092866333632692,0.6855415725673877,0.2965755990141014
18.038371895506423,0.6568068807565496,0.28386994057419274
19.771813545415213,0.6484382140687748,0.2875489056845529
18.12296387727846,0.6610201258510007,0.2836258287655772
15.657844365488865,0.6878141469245181,0.27659910987954694
19.92498309215408,0.7316556187301181,0.3213936950335612
