LE,gammaE,LElev,nugget
14.038290239543567,0.7143152925316111,1462.2769913614743,0.2152082893675394
15.559157180372921,0.7567990701448045,971.0796681839686,0.2234374685384067
13.31291134568748,0.6811895952212972,1201.8619868154813,0.18105588669396705
15.764837598805983,0.7467801844660189,1290.2141525156278,0.23497354458395936
13.91421482824638,0.7347263374415587,942.1061181811887,0.19923793844063695
16.138224924234216,0.7153331887889399,1381.607077737536,0.22933772192998453
15.503618388534157,0.6592953762066837,1111.7863320510053,0.19620048060034795
14.238694785398252,0.6792666678226802,1363.2504718030439,0.20461130565663058
14.37779252310587,0.6884879122762017,1299.0058304427605,0.2079812780371403
13.89432819873913,0.6493514987144677,1319.9865220957156,0.1797928178159963
14.801644540520742,0.6123392740916634,1279.1713242978935,0.1700902180711125
15.90779114107392,0.7051440918203326,1204.201438844736,0.20716535711705353
15.951750454214245,0.6698163270834895,1256.1347268232903,0.2138452399291993
14.571732054247766,0.6965779510241304,1491.1156329694663,0.21836758347104315
14.421940597328739,0.7745541619261644,843.8825256959168,0.22627042186986743
13.828229871070116,0.744653720999987,1297.2856713289693,0.20714751418101385
14.561877058801652,0.6821250774066686,1379.2598190227875,0.19676121926413528
16.678499666300585,0.7502179172009804,1184.809537458855,0.23953716428025534
16.61056306954144,0.7349997815607472,1148.3333177275433,0.21680270888875575
14.421290057937604,0.7137873963743452,1083.9523460350397,0.18876089904145582
14.952174583067027,0.7472939918596079,1163.978812408639,0.2285937577690403
14.686287368995014,0.7198519019031374,1287.4793492570368,0.22060431785011564
15.689522488626165,0.6766317678229004,1210.8698864623389,0.20902091113045895
15.482369115841115,0.7016100000901988,948.3152872124897,0.20744858323409507
15.658319651286524,0.6970460075777729,980.4377857092773,0.2035202241199548
16.309635617171963,0.7273639710741278,1072.6881681477655,0.22228378681402808
13.160786317269197,0.676459827780605,983.6958494699443,0.17200889028299896
13.193732137799884,0.6972355810035065,901.7717249884804,0.17228569566666252
13.131760409694223,0.6814001913097396,932.9249065327881,0.17405920816934128
14.011324813950186,0.7306595072242097,959.3897040685351,0.19928300161205678
14.264250449411515,0.7419628985605041,1214.0022953873993,0.21535484497102786
14.582574550552726,0.7489380686736714,1130.8877485783976,0.2199884258709355
14.582574550552726,0.7489380686736714,1130.8877485783976,0.2199884258709355
15.575689410632297,0.685538857231861,1150.4927464207792,0.20033000545599516
13.94140755384912,0.6655162113122424,999.7404952706947,0.18507365846156199
13.717657806090772,0.7660197062558952,1046.1101664497664,0.21610567606612577
16.316094287027532,0.7074227546874592,1255.8025193879057,0.22015830493803903
13.6147303144606,0.7109802681641578,1235.65055497895,0.19382519059391307
15.719248150601686,0.675268096902543,1058.9244273360312,0.21203948922284807
15.581081051965727,0.6997241736408939,1122.933663012319,0.21768039125728472
15.019068601339574,0.6760094033129744,1034.6815366158517,0.1967323558231974
13.801087714510683,0.6794542975225256,1260.4956769671278,0.19282620128509895
13.45683994579872,0.7007395012528826,1213.7309818042881,0.1886295951743548
14.726162621522755,0.6760179363455217,977.4145300936544,0.18189655112489966
15.435385388190982,0.647493780141894,948.5118362134095,0.18402070392372896
14.847222644910989,0.6528753196416333,995.399778875275,0.18145836723214268
13.612837591271472,0.751582745674636,1125.2407657343156,0.21061154833288478
14.731471843934681,0.7471021554311255,912.4059069650174,0.20794210154655537
13.506996313205072,0.6835559678901195,1011.6501331537868,0.1779166246428205
14.079279690054669,0.7062954095786982,1094.080347333269,0.19695036128925744
15.670777638820915,0.7568957041110607,1157.4654154681816,0.22724573057174477
16.72955382989258,0.7126133499353497,1200.8450248880067,0.23494112385951713
16.34408597312454,0.7455067584559589,1207.915668048022,0.22875644913138993
13.5180486689047,0.7002053509771758,1013.9705612583451,0.19708459847557136
13.731824683516653,0.7307627952067185,1045.8529940770654,0.18940866392544564
13.69734719771913,0.7287931638729471,1056.8816669710714,0.1930280503678082
15.957700357997192,0.7233180060190911,1172.0469868701025,0.2149679562022673
15.058898153468096,0.6913493706496681,1378.2325229782116,0.2152535804787289
14.726021118728044,0.7287126272638462,1244.2470062464747,0.21251039093400437
16.55137426044027,0.8168957914804534,1107.5001349774195,0.25694570649366094
14.58648927478535,0.7399550014040163,1059.6627129813635,0.21910138857956257
15.005833978407548,0.6777405553576077,1290.857210025217,0.19896032229197863
13.629169427833718,0.6429823296528995,1083.3574147389643,0.15493856946863402
16.45418574273756,0.7232504424920908,1236.4227466972732,0.215287525912082
16.313556866096974,0.6755729853695484,1170.454729951994,0.23511802691871272
16.595881462111482,0.6889209409966136,1211.4557303212348,0.2222799885797228
17.523863184328963,0.6418223043805573,1265.315616575529,0.21249117002557588
18.591668308958823,0.6807761544173934,1176.7025492172925,0.23473951063012305
15.775946620453269,0.782100909149072,1499.428893398587,0.25451197986297563
16.10109803679325,0.7748899993677185,1407.7047073191814,0.25400122467019964
16.24687530076231,0.7830902437283673,1452.4309805052808,0.25349698718715646
16.72783637183442,0.784741308374464,1194.116639713627,0.25133302538379354
16.828408604595083,0.789088257759237,1198.5679760650594,0.24399935859513888
14.392678458842344,0.7574352282158638,1078.0719326514686,0.2175579847099289
14.927720425995465,0.6849320884844298,1277.9109026303643,0.2104090822874143
16.86170961534907,0.7239522440487359,1082.8656831768349,0.21807888574502746
12.834551766833016,0.7114878211498954,988.9037236059036,0.18946074524035425
14.383019376315008,0.6720105495261742,1113.6420365428494,0.1932734487721028
13.330659389160278,0.7128471640167667,1246.9148030070185,0.19730309741031585
15.053865357463303,0.7165563290337993,1168.6858756136196,0.21032611993187836
15.553623986799987,0.7149939905772215,1093.3670233255464,0.2125738192507642
14.838586824953342,0.7705835130425013,1061.2452694702004,0.2234912906012029
14.449728784445593,0.7085288625226883,1273.9308732919994,0.21178897447463235
15.210167607639015,0.7402368716107666,1235.3706904242983,0.2216815783820575
15.725822024717477,0.7150222585838303,1133.5719255898935,0.22367364834134706
12.823294280337132,0.7129674116278144,992.297721642483,0.17582080928760094
17.004218287992245,0.7131658439630445,1267.26312582341,0.2274145773912856
15.57830490426792,0.6910374140099251,1334.5796614145115,0.2077356068048504
14.638186372365599,0.8019769574554749,1047.3942412339989,0.23496993387668252
15.919196651533088,0.7659514410780988,1218.4587933203943,0.2321933903909935
13.896281251684298,0.6341698251003849,1028.009512336407,0.17312892364970653
13.808621599620198,0.6354919387359117,1035.914061616465,0.16847081262145647
15.664038038280182,0.6674961451729086,1064.299229334124,0.20463052684327265
15.679872607497485,0.666180479410502,1065.6517554255506,0.2047598169305764
16.259163491421667,0.6800108278007667,1129.823070176394,0.1955868742602817
16.189953371892038,0.6759403727338927,1136.4898891125717,0.19763731329791567
15.440652922370385,0.7214783413053883,1141.5575348872242,0.2197914468289078
15.975589777944247,0.7389871334743512,1174.606660277392,0.22599062235030054
16.106311456021622,0.7340726776584234,1146.998020841788,0.23441043587056798
13.056437114688297,0.6500122997197251,1207.9471760024167,0.1729112971094262
17.668137853695924,0.6847812921201601,1127.2828353392729,0.22500535774835423
17.378199911587828,0.6589580483345595,1138.1441464638929,0.2076533992993484
17.130241395111582,0.6488711502608914,1181.9609883704159,0.20790252238426585
15.25025240040768,0.7623698533296371,1220.5884876666978,0.2251636422755944
14.14920298949286,0.7525923711937492,1062.4223386957942,0.2210327404025092
16.961379847571806,0.7470249155829949,1240.5310184382436,0.237489156763392
16.45765168083352,0.7731640827861724,1328.8559378984826,0.25831882189038124
17.290363352804277,0.6825807177479695,1305.5798791415255,0.23409610269131334
17.206151748970573,0.6926820748809343,1289.4017758117982,0.23144357431089846
14.222873840541252,0.7305554541911847,1334.478088725876,0.21731324872615487
14.201798493502162,0.6585465266476236,1298.5253390487323,0.19089193462808443
16.679726194642917,0.6720845344938581,1317.0919681673445,0.21800296266530161
16.1544775859658,0.7935680835949532,1333.4895820627266,0.25196922700907437
16.09883513217606,0.7147180390849323,1034.8610881668521,0.22146756544061608
15.287057744781634,0.7950037555476188,1098.6729467383177,0.2432533353298561
15.071912265987114,0.7535214541067293,1193.664820999319,0.2313189049085848
15.073317534521324,0.719969066791163,1278.9771643627787,0.21473827563872663
16.099733044248396,0.6930771888705323,1270.2772588909318,0.21440483551363615
15.346849482369011,0.7190345357142026,1212.7599343644836,0.2134985655250899
15.873723507712857,0.7174028012314497,1061.355883980729,0.21608962827324826
